feature,semantic_type,survived_q1,survived_median,survived_q3,died_q1,died_median,died_q3,q1_difference,median_difference,q3_difference
d1_heartrate_max,CONTINUOUS,87.0,100.0,115.0,97.0,114.0,131.0,10.0,14.0,16.0
d1_heartrate_min,CONTINUOUS,60.0,69.0,80.0,59.0,72.0,86.0,-1.0,3.0,6.0
d1_hemaglobin_max,CONTINUOUS,9.9,11.5,13.0,9.3,10.9,12.6,-0.6,-0.6,-0.4
d1_hemaglobin_min,CONTINUOUS,9.2,11.0,12.7,8.4,10.1,11.9,-0.8,-0.9,-0.8
d1_hematocrit_max,CONTINUOUS,30.1,34.6,39.0,28.6,33.2,38.3,-1.5,-1.4,-0.7
d1_hematocrit_min,CONTINUOUS,28.2,33.4,38.0,26.0,31.2,36.5,-2.2,-2.2,-1.5
d1_inr_max,CONTINUOUS,1.1,1.28,1.55,1.26,1.6,2.33,0.16,0.32,0.78
d1_inr_min,CONTINUOUS,1.1,1.2,1.5,1.2,1.47,2.0,0.1,0.27,0.5
d1_lactate_max,CONTINUOUS,1.1,1.7,2.8,1.9,3.6,7.9,0.8,1.9,5.1
d1_lactate_min,CONTINUOUS,1.0,1.4,2.03,1.5,2.5,5.0,0.5,1.1,2.97
d1_mbp_invasive_max,CONTINUOUS,90.0,102.0,118.0,83.0,98.0,118.0,-7.0,-4.0,0.0
d1_mbp_invasive_min,CONTINUOUS,55.0,63.0,73.0,42.0,54.0,64.0,-13.0,-9.0,-9.0
d1_mbp_max,CONTINUOUS,91.0,102.0,116.0,87.0,101.0,116.0,-4.0,-1.0,0.0
d1_mbp_min,CONTINUOUS,56.0,65.0,75.0,44.0,54.0,65.0,-12.0,-11.0,-10.0
d1_mbp_noninvasive_max,CONTINUOUS,91.0,102.0,116.0,87.0,101.0,116.0,-4.0,-1.0,0.0
d1_mbp_noninvasive_min,CONTINUOUS,56.0,65.0,75.0,44.0,54.0,65.0,-12.0,-11.0,-10.0
d1_pao2fio2ratio_max,CONTINUOUS,200.0,278.3559,367.5,150.0,239.5,350.0,-50.0,-38.8559,-17.5
d1_pao2fio2ratio_min,CONTINUOUS,142.0,213.3333,305.7411,88.0,158.0,255.0,-54.0,-55.3333,-50.7411
d1_platelets_max,CONTINUOUS,150.0,196.0,251.0,125.25,187.0,255.0,-24.75,-9.0,4.0
d1_platelets_min,CONTINUOUS,141.0,188.0,242.0,108.0,170.0,237.0,-33.0,-18.0,-5.0
d1_potassium_max,CONTINUOUS,3.8,4.1,4.5,3.9,4.4,5.0,0.1,0.3,0.5
d1_potassium_min,CONTINUOUS,3.6,3.9,4.3,3.5,3.9,4.5,-0.1,0.0,0.2
d1_resprate_max,CONTINUOUS,22.0,26.0,32.0,25.0,30.0,37.0,3.0,4.0,5.0
d1_resprate_min,CONTINUOUS,10.0,13.0,16.0,10.0,14.0,17.0,0.0,1.0,1.0
d1_sodium_max,CONTINUOUS,137.0,139.0,142.0,136.0,140.0,144.0,-1.0,1.0,2.0
d1_sodium_min,CONTINUOUS,135.0,138.0,141.0,134.0,138.0,141.0,-1.0,0.0,0.0
d1_spo2_max,CONTINUOUS,99.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0
d1_spo2_min,CONTINUOUS,90.0,93.0,95.0,81.0,90.0,94.0,-9.0,-3.0,-1.0
d1_sysbp_invasive_max,CONTINUOUS,135.0,152.0,170.0,125.0,146.0,167.0,-10.0,-6.0,-3.0
d1_sysbp_invasive_min,CONTINUOUS,82.0,93.0,109.0,64.0,81.0,94.0,-18.0,-12.0,-15.0
d1_sysbp_max,CONTINUOUS,131.0,146.0,164.0,125.0,143.0,164.0,-6.0,-3.0,0.0
d1_sysbp_min,CONTINUOUS,85.0,97.0,111.0,68.0,82.0,96.0,-17.0,-15.0,-15.0
d1_sysbp_noninvasive_max,CONTINUOUS,131.0,146.0,164.0,125.0,143.0,164.0,-6.0,-3.0,0.0
d1_sysbp_noninvasive_min,CONTINUOUS,85.0,97.0,111.0,68.0,82.0,96.0,-17.0,-15.0,-15.0
d1_temp_max,CONTINUOUS,36.9,37.1,37.6,36.7,37.2,37.9,-0.2,0.1,0.3
d1_temp_min,CONTINUOUS,36.1,36.4,36.7,35.5,36.2,36.6,-0.6,-0.2,-0.1
d1_wbc_max,CONTINUOUS,7.9,10.8,14.8,9.23,13.8,20.0,1.33,3.0,5.2
d1_wbc_min,CONTINUOUS,7.4,10.0,13.42,7.97,12.2,17.5975,0.57,2.2,4.1775
fio2_apache,CONTINUOUS,0.4,0.5,0.75,0.5,0.7,1.0,0.1,0.2,0.25
glucose_apache,CONTINUOUS,96.0,130.0,192.0,99.0,161.0,230.0,3.0,31.0,38.0
h1_diasbp_max,CONTINUOUS,63.0,74.0,86.0,59.0,70.0,85.0,-4.0,-4.0,-1.0
h1_diasbp_min,CONTINUOUS,52.0,62.0,74.0,44.0,55.0,67.0,-8.0,-7.0,-7.0
h1_diasbp_noninvasive_max,CONTINUOUS,63.0,74.0,87.0,59.0,70.0,86.0,-4.0,-4.0,-1.0
h1_diasbp_noninvasive_min,CONTINUOUS,53.0,63.0,74.0,44.0,55.0,67.0,-9.0,-8.0,-7.0
h1_glucose_max,CONTINUOUS,110.0,139.0,186.0,117.0,152.0,213.0,7.0,13.0,27.0
h1_glucose_min,CONTINUOUS,106.0,133.0,177.0,109.0,145.0,202.0,3.0,12.0,25.0
h1_heartrate_max,CONTINUOUS,76.0,89.0,105.0,83.0,99.0,116.0,7.0,10.0,11.0
h1_heartrate_min,CONTINUOUS,69.0,81.0,96.0,73.0,89.0,105.0,4.0,8.0,9.0
h1_hemaglobin_max,CONTINUOUS,9.6,11.2,12.8,8.9,10.6,12.6,-0.7,-0.6,-0.2
h1_hemaglobin_min,CONTINUOUS,9.4,11.0,12.7,8.8,10.5,12.4,-0.6,-0.5,-0.3
h1_inr_max,CONTINUOUS,1.1,1.28,1.55,1.26,1.6,2.33,0.16,0.32,0.78
h1_inr_min,CONTINUOUS,1.1,1.2,1.5,1.2,1.47,2.0,0.1,0.27,0.5
h1_mbp_max,CONTINUOUS,78.0,90.0,104.0,71.0,84.0,100.0,-7.0,-6.0,-4.0
h1_mbp_min,CONTINUOUS,67.0,79.0,92.0,56.0,69.0,83.0,-11.0,-10.0,-9.0
h1_mbp_noninvasive_max,CONTINUOUS,77.0,90.0,104.0,71.0,84.0,100.0,-6.0,-6.0,-4.0
h1_mbp_noninvasive_min,CONTINUOUS,67.0,79.0,93.0,56.0,69.0,83.0,-11.0,-10.0,-10.0
h1_potassium_max,CONTINUOUS,3.7,4.1,4.5,3.7,4.3,4.9,0.0,0.2,0.4
h1_potassium_min,CONTINUOUS,3.7,4.1,4.5,3.7,4.2,4.9,0.0,0.1,0.4
h1_resprate_max,CONTINUOUS,18.0,21.0,26.0,20.0,24.0,30.0,2.0,3.0,4.0
h1_resprate_min,CONTINUOUS,13.0,16.0,20.0,15.0,18.0,23.0,2.0,2.0,3.0
h1_sodium_max,CONTINUOUS,136.0,139.0,141.0,135.0,138.0,142.0,-1.0,-1.0,1.0
h1_sodium_min,CONTINUOUS,135.0,138.0,141.0,134.0,138.0,142.0,-1.0,0.0,1.0
h1_spo2_max,CONTINUOUS,97.0,99.0,100.0,97.0,99.0,100.0,0.0,0.0,0.0
h1_spo2_min,CONTINUOUS,94.0,96.0,99.0,91.0,95.0,99.0,-3.0,-1.0,0.0
h1_sysbp_max,CONTINUOUS,114.0,131.0,150.0,105.0,122.0,146.0,-9.0,-9.0,-4.0
h1_sysbp_min,CONTINUOUS,99.0,116.0,134.0,83.0,101.0,122.0,-16.0,-15.0,-12.0
h1_sysbp_noninvasive_max,CONTINUOUS,114.0,131.0,150.0,105.0,122.0,145.0,-9.0,-9.0,-5.0
h1_sysbp_noninvasive_min,CONTINUOUS,99.0,116.0,135.0,83.0,101.0,122.0,-16.0,-15.0,-13.0
h1_temp_max,CONTINUOUS,36.4,36.7,37.0,36.0,36.6,37.0,-0.4,-0.1,0.0
h1_temp_min,CONTINUOUS,36.3,36.7,37.0,35.9,36.5,36.9,-0.4,-0.2,-0.1
heart_rate_apache,CONTINUOUS,85.0,103.0,118.0,96.0,116.0,133.0,11.0,13.0,15.0
height,CONTINUOUS,162.5,170.1,177.8,161.0,168.0,177.8,-1.5,-2.1,0.0
hematocrit_apache,CONTINUOUS,28.2,33.4,38.0,26.2,31.2,36.65,-2.0,-2.2,-1.35
map_apache,CONTINUOUS,55.0,67.0,124.0,45.0,56.0,128.0,-10.0,-11.0,4.0
paco2_apache,CONTINUOUS,35.0,40.6,47.0,32.0,38.4,47.2,-3.0,-2.2,0.2
paco2_for_ph_apache,CONTINUOUS,35.0,40.6,47.0,32.0,38.4,47.2,-3.0,-2.2,0.2
pao2_apache,CONTINUOUS,78.3,104.0,152.0,72.0,100.0,159.225,-6.3,-4.0,7.225
ph_apache,CONTINUOUS,7.32,7.37,7.42,7.23,7.33,7.41,-0.09,-0.04,-0.01
pre_icu_los_days,CONTINUOUS,0.0354,0.1389,0.3972,0.0354,0.1396,0.7951,0.0,0.0007,0.3979
resprate_apache,CONTINUOUS,11.0,27.0,36.0,16.0,32.0,39.0,5.0,5.0,3.0
sodium_apache,CONTINUOUS,135.0,138.0,141.0,134.0,138.0,142.0,-1.0,0.0,1.0
temp_apache,CONTINUOUS,36.2,36.5,36.7,35.6,36.3,36.7,-0.6,-0.2,0.0
urineoutput_apache,CONTINUOUS,789.4368,1434.7584,2364.4656,316.3536,812.7648,1583.3664,-473.0832,-621.9936,-781.0992
wbc_apache,CONTINUOUS,7.44,10.2,14.7,8.175,13.55,19.8,0.735,3.35,5.1
weight,CONTINUOUS,67.1,80.8,97.5,63.5,77.0,93.0,-3.6,-3.8,-4.5
gcs_eyes_apache,ORDINAL,3.0,4.0,4.0,1.0,3.0,4.0,-2.0,-1.0,0.0
gcs_motor_apache,ORDINAL,6.0,6.0,6.0,1.0,5.0,6.0,-5.0,-1.0,0.0
gcs_verbal_apache,ORDINAL,4.0,5.0,5.0,1.0,2.0,5.0,-3.0,-3.0,0.0
