feature,feature_type,unique_values,uniqueness_ratio_percent,cardinality_level,q5_review,q5_reason
h1_arterial_pco2_max,numeric,779,0.8493888543608866,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_creatinine_min,numeric,777,0.8472081384318473,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_arterial_pco2_min,numeric,768,0.8373949167511694,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
paco2_apache,numeric,704,0.7676120070219052,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
paco2_for_ph_apache,numeric,704,0.7676120070219052,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_lactate_max,numeric,704,0.7676120070219052,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_pco2_min,numeric,674,0.7349012680863127,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_ph_min,numeric,624,0.6803833698603251,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_glucose_max,numeric,601,0.6553051366763709,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_glucose_min,numeric,588,0.6411304831376141,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_arterial_ph_min,numeric,579,0.6313172614569363,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
glucose_apache,numeric,565,0.6160522499536598,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_arterial_ph_max,numeric,561,0.6116908180955808,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_platelets_max,numeric,559,0.6095101021665413,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
ph_apache,numeric,555,0.6051486703084623,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_lactate_max,numeric,547,0.5964258065923043,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_platelets_min,numeric,545,0.5942450906632648,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_platelets_max,numeric,544,0.593154732698745,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_platelets_min,numeric,540,0.588793300840666,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_glucose_max,numeric,538,0.5866125849116265,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_lactate_min,numeric,536,0.5844318689825869,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_ph_max,numeric,527,0.5746186473019093,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_bun_max,numeric,495,0.5397271924372772,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_lactate_min,numeric,486,0.5299139707565994,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_inr_max,numeric,481,0.5244621809340007,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_inr_max,numeric,481,0.5244621809340007,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
bun_apache,numeric,476,0.5190103911114019,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_bun_min,numeric,472,0.5146489592533229,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
height,numeric,401,0.43723354377242046,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
apache_3j_diagnosis,numeric,399,0.435052827843381,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_inr_min,numeric,393,0.4285106800562624,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_inr_min,numeric,393,0.4285106800562624,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_bilirubin_max,numeric,374,0.4077938787303872,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
bilirubin_apache,numeric,362,0.3947095831561501,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hematocrit_min,numeric,361,0.39361922519163045,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hematocrit_max,numeric,358,0.39034815129807116,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_bilirubin_min,numeric,357,0.38925779333355137,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
hematocrit_apache,numeric,353,0.3848963614754724,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hematocrit_min,numeric,340,0.3707217079367156,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hematocrit_max,numeric,312,0.34019168493016255,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_temp_min,numeric,303,0.3303784632494848,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_temp_max,numeric,294,0.32056524156880706,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_invasive_max,numeric,285,0.3107520198881293,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_bun_max,numeric,258,0.28131235484609596,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_bun_min,numeric,258,0.28131235484609596,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_glucose_min,numeric,256,0.27913163891705645,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hco3_min,numeric,255,0.2780412809525367,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_invasive_max,numeric,247,0.2693184172363787,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
icu_id,numeric,241,0.2627762694492602,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_invasive_max,numeric,225,0.24533054201694415,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hco3_max,numeric,223,0.24314982608790464,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hco3_max,numeric,214,0.23333660440722687,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_temp_min,numeric,209,0.22788481458462811,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hco3_min,numeric,198,0.21589087697491088,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
temp_apache,numeric,191,0.20825837122327262,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_temp_max,numeric,186,0.2028065814006738,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_invasive_max,numeric,181,0.19735479157807506,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_bilirubin_max,numeric,181,0.19735479157807506,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_bilirubin_min,numeric,181,0.19735479157807506,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_invasive_min,numeric,168,0.18318013803931832,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_invasive_min,numeric,163,0.17772834821671954,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
map_apache,numeric,161,0.17554763228768006,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_heartrate_min,numeric,154,0.1679151265360418,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_max,numeric,149,0.162463336713443,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_noninvasive_max,numeric,149,0.162463336713443,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
heart_rate_apache,numeric,149,0.162463336713443,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
hospital_id,numeric,147,0.16028262078440353,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_invasive_max,numeric,145,0.15810190485536402,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_noninvasive_max,numeric,143,0.1559211889263245,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_noninvasive_min,numeric,143,0.1559211889263245,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_max,numeric,143,0.1559211889263245,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sysbp_min,numeric,142,0.15483083096180475,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sodium_min,numeric,138,0.15046939910372575,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_invasive_min,numeric,133,0.145017609281127,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_max,numeric,125,0.13629474556496898,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hemaglobin_min,numeric,124,0.13520438760044923,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_hemaglobin_max,numeric,124,0.13520438760044923,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_noninvasive_max,numeric,122,0.13302367167140972,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_noninvasive_min,numeric,120,0.13084295574237023,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_noninvasive_max,numeric,120,0.13084295574237023,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sysbp_min,numeric,120,0.13084295574237023,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_max,numeric,120,0.13084295574237023,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_heartrate_max,numeric,120,0.13084295574237023,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_heartrate_max,numeric,119,0.12975259777785048,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
sodium_apache,numeric,119,0.12975259777785048,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_invasive_min,numeric,118,0.12866223981333072,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_max,numeric,117,0.12757188184881096,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_potassium_min,numeric,116,0.1264815238842912,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_noninvasive_max,numeric,115,0.12539116591977145,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_potassium_max,numeric,115,0.12539116591977145,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hemaglobin_min,numeric,115,0.12539116591977145,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_potassium_min,numeric,113,0.12321044999073197,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sodium_min,numeric,113,0.12321044999073197,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_heartrate_min,numeric,109,0.11884901813265294,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_noninvasive_max,numeric,108,0.11775866016813319,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_min,numeric,107,0.11666830220361343,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_mbp_noninvasive_min,numeric,107,0.11666830220361343,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_max,numeric,107,0.11666830220361343,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_hemaglobin_max,numeric,105,0.11448758627457395,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_invasive_max,numeric,103,0.11230687034553444,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
apache_4a_hospital_death_prob,numeric,101,0.11012615441649493,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_spo2_min,numeric,101,0.11012615441649493,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_spo2_min,numeric,100,0.10903579645197517,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_potassium_max,numeric,100,0.10903579645197517,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_sodium_max,numeric,99,0.10794543848745544,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
apache_4a_icu_death_prob,numeric,99,0.10794543848745544,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_noninvasive_min,numeric,93,0.1014032907003369,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_min,numeric,92,0.10031293273581718,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_min,numeric,91,0.09922257477129742,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_mbp_noninvasive_min,numeric,91,0.09922257477129742,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_resprate_min,numeric,91,0.09922257477129742,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_diasbp_invasive_min,numeric,86,0.09377078494869866,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_invasive_min,numeric,85,0.0926804269841789,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
fio2_apache,numeric,82,0.08940935309061965,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_resprate_max,numeric,79,0.0861382791970604,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_min,numeric,78,0.08504792123254064,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_diasbp_noninvasive_min,numeric,78,0.08504792123254064,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
resprate_apache,numeric,74,0.08068648937446163,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
age,numeric,74,0.08068648937446163,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_spo2_max,numeric,72,0.07850577344542213,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_sodium_max,numeric,71,0.07741541548090237,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_calcium_min,numeric,62,0.06760219380022461,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_calcium_max,numeric,59,0.06433111990666536,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_resprate_min,numeric,55,0.05996968804858635,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_resprate_max,numeric,50,0.054517898225987585,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_calcium_min,numeric,49,0.05342754026146784,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_calcium_max,numeric,47,0.05124682433242833,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
apache_2_diagnosis,numeric,44,0.04797575043886908,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_spo2_max,numeric,43,0.04688539247434933,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_albumin_min,numeric,37,0.040343244687230814,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_albumin_max,numeric,37,0.040343244687230814,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_albumin_max,numeric,35,0.038162528758191316,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
albumin_apache,numeric,35,0.038162528758191316,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_albumin_min,numeric,35,0.038162528758191316,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
hospital_admit_source,categorical,15,0.01635536946779628,moderate_cardinality,REVIEW_FOR_ENCODING,Categorical feature has moderate cardinality; encoding method should be selected before modeling.
