feature,review_score,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,mean,median,relative_difference_percent,skewness
d1_creatinine_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.087850141201356,1187,1.4886499435887375,1.0,39.270283460122464,3.597628752721957
d1_lactate_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.57612334129294,486,2.1251280181841574,1.5,34.488603715423366,3.560416032413983
creatinine_apache,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score,20.55651870509088,1127,1.4800135053527312,0.98,40.65128132546869,3.546544016743916
d1_inr_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest international normalized ratio for the patient during the first 24 hours of their unit stay,63.17643082223894,393,1.4829792727703424,1.21,20.273403180672908,3.4109458861807167
h1_inr_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest international normalized ratio for the patient during the first hour of their unit stay,63.17643082223894,393,1.4829792727703424,1.21,20.273403180672908,3.4109458861807167
d1_lactate_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.57612334129294,704,2.9273825963889006,1.9,42.564788511166654,2.8991276703059907
h1_lactate_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99241110856694,536,3.0215426879084966,2.0,40.68640859584031,2.5033049891468284
h1_lactate_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99241110856694,547,3.068860294117647,2.05,39.80809147256757,2.464702558163932
h1_bun_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.87606991375269,258,25.81925219588497,18.0,35.68866105213576,2.3522689498598113
h1_bun_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.87606991375269,258,25.84453796173746,18.0,35.78342172784798,2.349970440845469
d1_bun_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.464023638960672,495,25.685745021490412,19.0,29.92339063956562,2.133405958707151
bun_apache,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score,21.00247511257946,476,25.825330361209645,19.0,30.453006397097564,2.129075167866592
d1_bun_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.464023638960672,472,23.767468564883806,18.0,27.617036718058763,2.083697021493381
pao2_apache,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The partial pressure of oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27148822958577,2003,131.14846725833533,103.5,23.565862229047383,2.048364736325369
apache_4a_icu_death_prob,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,"The APACHE IVa probabilistic prediction of in ICU mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis",8.665074744038467,99,0.0439548265406012,0.02,74.91170826769007,-2.028835621857509
d1_arterial_po2_min,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.61679369336953,1822,103.51134941912422,85.0,19.639506561450847,2.7931241862320113
h1_glucose_min,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.36809394524223,588,159.22274226962327,134.0,17.203810369136054,2.5032751560785163
d1_resprate_max,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay,0.4197878163401045,79,28.882774176594253,26.0,10.505205758435093,2.497452004291898
h1_glucose_max,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.36809394524223,601,167.98511701066522,140.0,18.173032049270173,2.4900682845516324
d1_mbp_invasive_max,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, invasively measured",73.90119176125522,285,114.8897476604278,101.0,12.867445361300744,2.401804405356461
d1_glucose_max,4,HIGH,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.331708699966199,538,174.63802295532327,150.0,15.178766018245469,2.0576270134750536
urineoutput_apache,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The total urine output for the first 24 hours,53.4253595455388,24772,1738.2768306148191,1386.2016,22.536576163564003,1.727689298769697
h1_arterial_po2_min,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The lowest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.80723561545256,1729,144.15422406139012,107.0,29.58678015489673,1.6576790426492847
apache_4a_hospital_death_prob,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,"The APACHE IVa probabilistic prediction of in-hospital mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis.",8.665074744038467,101,0.08678688250602871,0.05,53.78714951619338,-1.4840473343799634
d1_arterial_po2_max,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The highest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.61679369336953,2428,165.91398030877323,127.0,26.57024445726512,1.457698461761775
h1_arterial_po2_max,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The highest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.80723561545256,1737,163.84135432521563,120.0,30.891449506673162,1.3298460207030494
apache_3j_diagnosis,4,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,string,The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission,1.2004841189362467,399,558.2163765284952,409.02,30.850034210660148,1.0133973662248108
d1_spo2_max,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36308920218507734,43,99.24183628802801,100.0,0.7610487095450895,-19.302724087494916
h1_spo2_max,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay,4.563148081515162,72,98.04463714468513,99.0,0.969691811113209,-10.808824170077035
h1_spo2_min,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay,4.563148081515162,100,95.17430993510648,96.0,0.8638085997787041,-6.769661706670806
d1_spo2_min,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36308920218507734,101,90.4548260013132,92.0,1.6937606228904958,-4.77425077150704
h1_mbp_invasive_max,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, invasively measured",81.60675149651631,247,94.88363269903373,90.0,5.282925944000287,3.311216787574056
d1_temp_min,3,MEDIUM,VERY_HIGH_SKEWNESS,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay,2.5339919095439036,209,36.26839055056483,36.4,0.36221924949222495,-2.853370780037881
glucose_apache,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The glucose concentration measured during the first 24 hours which results in the highest APACHE III score,12.033190496439982,565,160.3268217707649,133.0,18.63233754472056,1.8422394805114006
d1_wbc_max,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The highest white blood cell count for the patient during the first 24 hours of their unit stay,14.364375824583211,3098,12.476301709978483,11.0,12.57695294784006,1.7276204199998486
d1_wbc_min,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The lowest white blood cell count for the patient during the first 24 hours of their unit stay,14.364375824583211,2774,11.313535542851323,10.1,11.334284713730508,1.7041184913563674
wbc_apache,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The white blood cell count measured during the first 24 hours which results in the highest APACHE III score,24.000959515008777,3075,12.133332807276798,10.4,15.38461107463911,1.678507660986975
h1_wbc_min,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The lowest white blood cell count for the patient during the first hour of their unit stay,82.81595847916871,2072,13.423474974619289,12.1,10.370648792418443,1.330382396250643
h1_wbc_max,3,MEDIUM,NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | HIGH_SKEWNESS,numeric,The highest white blood cell count for the patient during the first hour of their unit stay,82.81595847916871,2075,13.46021192893401,12.12,10.478505281014383,1.3249022338333991
map_apache,3,MEDIUM,LARGE_MEAN_MEDIAN_DIFFERENCE | NOTICEABLE_SKEWNESS,numeric,The mean arterial pressure measured during the first 24 hours which results in the highest APACHE III score,1.0838158167326335,161,88.01587319084206,67.0,27.11447899915274,0.6983194657562418
apache_2_diagnosis,3,MEDIUM,LARGE_MEAN_MEDIAN_DIFFERENCE | NOTICEABLE_SKEWNESS,string,The APACHE II diagnosis for the ICU admission,1.8121749370318276,44,185.40173901455842,122.0,41.2500848029072,0.5074104559285578
h1_resprate_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The patient's lowest respiratory rate during the first hour of their unit stay,4.750689651412559,91,17.211525252987773,16.0,7.295812184228316,1.8806495966931212
d1_diasbp_invasive_max,2,MEDIUM,HIGH_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.12689585991082,145,78.75700619495133,75.0,4.886939838289715,1.5958658389781422
h1_arterial_pco2_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82250062695583,768,43.383452773898696,41.0,5.649099901813784,1.590903030615158
h1_arterial_pco2_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82250062695583,779,44.668443887266726,42.1,5.920225769183452,1.5731605727237823
d1_arterial_pco2_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.62660691505022,831,45.248924234017636,42.8,5.562644303316767,1.5649384000250963
h1_resprate_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The patient's highest respiratory rate during the first hour of their unit stay,4.750689651412559,50,22.63361417647328,21.0,7.487870107968756,1.5260155307553676
bmi,2,MEDIUM,HIGH_SKEWNESS,string,The body mass index of the person on unit admission,3.738837460338229,34888,29.18581766857505,27.65465458,5.387580461608278,1.4408329750701059
d1_glucose_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.331708699966199,256,114.38093963169045,107.0,6.668089532883957,1.3817086272879808
paco2_apache,2,MEDIUM,HIGH_SKEWNESS,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27148822958577,704,42.1832381866155,40.0,5.313098473092444,1.377842885530094
paco2_for_ph_apache,2,MEDIUM,HIGH_SKEWNESS,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27148822958577,704,42.1832381866155,40.0,5.313098473092444,1.377842885530094
d1_arterial_pco2_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.62660691505022,674,38.43386178410702,37.0,3.801639609041254,1.2123162186618566
h1_platelets_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The highest platelet count for the patient during the first hour of their unit stay,82.51065824910319,544,196.09600997506234,181.0,8.00645436479726,1.1946668343332414
h1_platelets_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest platelet count for the patient during the first hour of their unit stay,82.51065824910319,545,195.48154613466335,181.0,7.693097461665999,1.1917251220128193
d1_sysbp_invasive_max,2,MEDIUM,HIGH_SKEWNESS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.09963691079781,225,154.27431169487244,151.0,2.1451603161062405,1.1300076087883983
weight,2,MEDIUM,HIGH_SKEWNESS,numeric,The weight (body mass) of the person on unit admission,2.965773663493725,3409,84.02833953232276,80.3,4.537670791214212,1.0690697791620545
d1_potassium_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The highest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,10.451081089921821,100,4.251594462302746,4.2,1.2209403215659835,1.0486621000149274
d1_platelets_max,2,MEDIUM,HIGH_SKEWNESS,numeric,The highest platelet count for the patient during the first 24 hours of their unit stay,14.658772475003543,559,207.1056740216433,196.0,5.5100559170233945,1.0445771406901074
d1_arterial_ph_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest arterial pH for the patient during the first 24 hours of their unit stay,65.55559190082104,624,7.324530060145616,7.34,0.21098446102173202,-1.0331545140335325
h1_arterial_ph_min,2,MEDIUM,HIGH_SKEWNESS,numeric,The lowest arterial pH for the patient during the first hour of their unit stay,83.32951708045752,579,7.327882529923475,7.34,0.16522453124102587,-1.0013952049877106
aids,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone),0.7796059446316226,2,0.0008571616958614475,0.0,200.0,34.11275783817229
lymphoma,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the patient has been diagnosed with non-Hodgkin lymphoma.,0.7796059446316226,2,0.004131958944152619,0.0,200.0,15.460529963022601
leukemia,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma.",0.7796059446316226,2,0.00706608936460142,0.0,200.0,11.76999060338227
gcs_unable_apache,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,1.1307012092069826,2,0.009528430896819444,0.0,200.0,10.097626827854358
hepatic_failure,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",0.7796059446316226,2,0.012989296468054244,0.0,200.0,8.60244520661668
cirrhosis,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",0.7796059446316226,2,0.015692652585771117,0.0,200.0,7.793717662014988
solid_tumor_with_metastasis,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the patient has been diagnosed with any solid tumor carcinoma (including malignant melanoma) which has evidence of metastasis.,0.7796059446316226,2,0.020637816215741005,0.0,200.0,6.743686756853128
immunosuppression,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient has their immune system suppressed within six months prior to ICU admission for any of the following reasons; radiation therapy, chemotherapy, use of non-cytotoxic immunosuppressive drugs, high dose steroids (at least 0.3 mg/kg/day of methylprednisolone or equivalent for at least 6 months).",0.7796059446316226,2,0.02616541022879624,0.0,200.0,5.936870055616927
arf_apache,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis",0.7796059446316226,2,0.02797863689311853,0.0,200.0,5.724632717518299
gcs_motor_apache,1,LOW,LOW_UNIQUE_VALUES,integer,The motor component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,6,5.471195385917249,6.0,9.219695006362533,-2.7123756368455556
intubated_apache,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the patient was intubated at the time of the highest scoring arterial blood gas used in the oxygenation score,0.7796059446316226,2,0.15122310380447923,0.0,200.0,1.9470585643933462
gcs_eyes_apache,1,LOW,LOW_UNIQUE_VALUES,integer,The eye opening component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,4,3.4650492139135083,4.0,14.332143586928797,-1.6843884799116704
elective_surgery,1,LOW,LOW_UNIQUE_VALUES,binary,Whether the patient was admitted to the hospital for an elective surgical operation,0.0,2,0.18373622060122338,0.0,200.0,1.633329864835995
apache_post_operative,1,LOW,LOW_UNIQUE_VALUES,binary,"The APACHE operative status; 1 for post-operative, 0 for non-operative",0.0,2,0.20110562297602302,0.0,200.0,1.491413447444204
diabetes_mellitus,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient has been diagnosed with diabetes, either juvenile or adult onset, which requires medication.",0.7796059446316226,2,0.22519176245631772,0.0,200.0,1.3158110729343842
gcs_verbal_apache,1,LOW,LOW_UNIQUE_VALUES,integer,The verbal component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,5,3.9947779806707344,5.0,22.35123582793106,-1.2035033380664226
h1_arterial_ph_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest arterial pH for the patient during the first hour of their unit stay,83.32951708045752,561,7.338362744456799,7.35,0.15845544865226083,-0.9966152600080612
temp_apache,1,LOW,NOTICEABLE_SKEWNESS,numeric,The temperature measured during the first 24 hours which results in the highest APACHE III score,4.47919051824714,191,36.414472461617486,36.5,0.2345968790421862,-0.9662992866831844
h1_potassium_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.61698995780316,113,4.153006475957371,4.1,1.2845373649418417,0.9549754853954349
h1_potassium_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.61698995780316,115,4.20114425577482,4.1,2.436875029715524,0.9469273492541025
d1_platelets_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest platelet count for the patient during the first 24 hours of their unit stay,14.658772475003543,540,196.7697792229363,187.0,5.091479189798803,0.9420020922332938
ph_apache,1,LOW,NOTICEABLE_SKEWNESS,numeric,The pH from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27148822958577,555,7.35389478819861,7.36,0.0829856661240664,-0.8790942825667741
h1_sodium_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.17852430953081,99,138.2396103896104,139.0,0.5485432686339576,-0.8776372711805844
h1_sodium_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.17852430953081,113,137.90194805194807,138.0,0.07107738727054606,-0.8728799048806789
h1_diasbp_invasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, invasively measured",81.69834156553597,103,67.97033065236819,66.0,2.9414432923673024,0.8676322322454098
d1_temp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured",2.5339919095439036,186,37.28420064303214,37.11,0.4683178030718171,0.8526404659782869
d1_diasbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17990906414575905,120,88.49187311574256,86.0,2.856148050046634,0.8142118882558035
h1_temp_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The patient's lowest core temperature during the first hour of their unit stay,23.695659284943247,303,36.6076505689007,36.6,0.020901009228537486,-0.8113391346632899
d1_diasbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.1339722831005419,120,88.610512500965,87.0,1.8341868923776996,0.8107350585200546
d1_mbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.2398787521943454,125,104.65133944673363,102.0,2.5660026727453547,0.8007272628799076
d1_pao2fio2ratio_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,71.97234852201979,5194,285.6670789427454,272.6666667,4.6568606480267425,0.7702549358460749
h1_pao2fio2ratio_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,The highest fraction of inspired oxygen for the patient during the first hour of their unit stay,87.44125696466149,3142,244.40498172767062,223.3333333,9.010015964342823,0.761722478358949
d1_sodium_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,11.11619944827887,138,137.72214357565198,138.0,0.2015481388217037,-0.7508673055018381
d1_mbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.612639429524713,122,104.59045370924485,102.0,2.5078154994428314,0.7485151393169822
ventilated_apache,1,LOW,LOW_UNIQUE_VALUES,binary,"Whether the patient was invasively ventilated at the time of the highest scoring arterial blood gas using the oxygenation scoring algorithm, including any mode of positive pressure ventilation delivered through a circuit attached to an endo-tracheal tube or tracheostomy",0.7796059446316226,2,0.32572144442735007,0.0,200.0,0.7437693140050935
h1_pao2fio2ratio_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest fraction of inspired oxygen for the patient during the first hour of their unit stay,87.44125696466149,3122,235.93305011669997,214.0,9.7494727764547,0.7107040335892995
h1_diasbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.946005473596982,107,75.35450768497287,74.0,1.8138156068645463,0.6922107437200131
h1_diasbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",8.014131039220176,108,75.80593388096678,74.0,2.411031171037244,0.6837496880899995
d1_pao2fio2ratio_min,1,LOW,NOTICEABLE_SKEWNESS,numeric,The lowest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,71.97234852201979,4990,223.52303675338692,205.0,8.645059968641473,0.6806032569023106
h1_mbp_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",5.058170597407129,117,91.61294990467879,90.0,1.776249882539056,0.6739953056135447
h1_mbp_noninvasive_max,1,LOW,NOTICEABLE_SKEWNESS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured",9.904811749697426,115,91.59412554914134,90.0,1.755701671869282,0.6294313840072427
age,1,LOW,NOTICEABLE_SKEWNESS,numeric,The age of the patient on unit admission,4.610033473989511,74,62.309515917014345,65.0,4.226681821238603,-0.6244742018411362
