feature,semantic_type,missing_percent,final_data_status,baseline_status,missing_strategy,encoding_strategy,cleaning_action,special_value_action,redundancy_status,redundancy_with,leakage_status,decision_reason,baseline_reason,level2_evidence,future_experiment,requires_review,review_reason
hematocrit_apache,CONTINUOUS,21.67,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_hematocrit_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_hematocrit_min:0.9687,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
intubated_apache,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,ventilated_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=ventilated_apache:0.8273,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
map_apache,CONTINUOUS,1.08,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
paco2_apache,CONTINUOUS,77.27,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,paco2_for_ph_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=paco2_for_ph_apache:100.0000%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
paco2_for_ph_apache,CONTINUOUS,77.27,DROP,DROP,NONE,NONE,NONE,NONE,EXACT_DUPLICATE,paco2_apache,NONE,EXACT_DUPLICATE_OF_paco2_apache,FINAL_DATA_DROP,EXACT_DUPLICATE_OF=paco2_apache,NONE,False,
pao2_apache,CONTINUOUS,77.27,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
ph_apache,CONTINUOUS,77.27,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
resprate_apache,CONTINUOUS,1.35,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
sodium_apache,CONTINUOUS,20.28,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_sodium_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_sodium_min:0.9194,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
temp_apache,CONTINUOUS,4.48,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
urineoutput_apache,CONTINUOUS,53.43,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
ventilated_apache,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,intubated_apache,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=intubated_apache:0.8273,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
wbc_apache,CONTINUOUS,24.0,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_wbc_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_wbc_max:0.9695,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_diasbp_invasive_max,CONTINUOUS,74.13,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_diasbp_invasive_min,CONTINUOUS,74.13,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_diasbp_max,CONTINUOUS,0.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_diasbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_diasbp_noninvasive_max:99.6383%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_diasbp_min,CONTINUOUS,0.18,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_diasbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_diasbp_noninvasive_min:99.6239%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_diasbp_noninvasive_max,CONTINUOUS,1.13,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_diasbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_diasbp_max:99.6383%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_diasbp_noninvasive_min,CONTINUOUS,1.13,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_diasbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_diasbp_min:99.6239%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_heartrate_max,CONTINUOUS,0.16,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_heartrate_min,CONTINUOUS,0.16,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_mbp_invasive_max,CONTINUOUS,73.9,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_mbp_invasive_min,CONTINUOUS,73.9,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_mbp_max,CONTINUOUS,0.24,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_mbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_mbp_noninvasive_max:0.9847,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_mbp_min,CONTINUOUS,0.24,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_mbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_mbp_noninvasive_min:99.5024%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_mbp_noninvasive_max,CONTINUOUS,1.61,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_mbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_mbp_max:0.9847,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
d1_mbp_noninvasive_min,CONTINUOUS,1.61,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_mbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_mbp_min:99.5024%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_resprate_max,CONTINUOUS,0.42,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_resprate_min,CONTINUOUS,0.42,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_spo2_max,CONTINUOUS,0.36,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_spo2_min,CONTINUOUS,0.36,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
d1_sysbp_invasive_max,CONTINUOUS,74.1,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_sysbp_invasive_min,CONTINUOUS,74.1,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_sysbp_max,CONTINUOUS,0.17,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_sysbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_sysbp_noninvasive_max:99.6185%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_sysbp_min,CONTINUOUS,0.17,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_sysbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_sysbp_noninvasive_min:99.0947%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_sysbp_noninvasive_max,CONTINUOUS,1.12,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_sysbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_sysbp_max:99.6185%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_sysbp_noninvasive_min,CONTINUOUS,1.12,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,d1_sysbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=d1_sysbp_min:99.0947%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
d1_temp_max,CONTINUOUS,2.53,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
d1_temp_min,CONTINUOUS,2.53,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
h1_diasbp_invasive_max,CONTINUOUS,81.7,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_diasbp_invasive_min,CONTINUOUS,81.7,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_diasbp_max,CONTINUOUS,3.95,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_diasbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_diasbp_noninvasive_max:0.9843,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_diasbp_min,CONTINUOUS,3.95,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_diasbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_diasbp_noninvasive_min:0.9817,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_diasbp_noninvasive_max,CONTINUOUS,8.01,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_diasbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_diasbp_max:0.9843,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_diasbp_noninvasive_min,CONTINUOUS,8.01,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_diasbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_diasbp_min:0.9817,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_heartrate_max,CONTINUOUS,3.04,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,HIGH_CORRELATION,h1_heartrate_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_heartrate_min:0.8538,REDUNDANCY_ABLATION; SPECIAL_VALUE_REVIEW,True,HIGH_CORRELATION; REVIEW_ZERO_VALIDITY
h1_heartrate_min,CONTINUOUS,3.04,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,HIGH_CORRELATION,h1_heartrate_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_heartrate_max:0.8538,REDUNDANCY_ABLATION; SPECIAL_VALUE_REVIEW,True,HIGH_CORRELATION; REVIEW_ZERO_VALIDITY
h1_mbp_invasive_max,CONTINUOUS,81.61,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_mbp_invasive_min,CONTINUOUS,81.61,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_mbp_max,CONTINUOUS,5.06,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_mbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_mbp_noninvasive_max:0.9866,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_mbp_min,CONTINUOUS,5.06,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_mbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_mbp_noninvasive_min:99.1553%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
h1_mbp_noninvasive_max,CONTINUOUS,9.9,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_mbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_mbp_max:0.9866,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_mbp_noninvasive_min,CONTINUOUS,9.9,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_mbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_mbp_min:99.1553%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
h1_resprate_max,CONTINUOUS,4.75,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
h1_resprate_min,CONTINUOUS,4.75,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
h1_spo2_max,CONTINUOUS,4.56,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
h1_spo2_min,CONTINUOUS,4.56,KEEP,KEEP,MEDIAN,NONE,NONE,REVIEW_ZERO_VALIDITY,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_ZERO_VALIDITY
h1_sysbp_invasive_max,CONTINUOUS,81.68,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_sysbp_invasive_min,CONTINUOUS,81.68,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,EXTREME_MISSINGNESS,NONE,REINTRODUCE_HIGH_MISSINGNESS_FEATURE,False,
h1_sysbp_max,CONTINUOUS,3.94,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_sysbp_noninvasive_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_sysbp_noninvasive_max:99.2711%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
h1_sysbp_min,CONTINUOUS,3.94,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_sysbp_noninvasive_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_sysbp_noninvasive_min:0.9880,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_sysbp_noninvasive_max,CONTINUOUS,8.0,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NEAR_DUPLICATE,h1_sysbp_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NEAR_DUPLICATE_WITH=h1_sysbp_max:99.2711%,REDUNDANCY_ABLATION,True,NEAR_DUPLICATE
h1_sysbp_noninvasive_min,CONTINUOUS,8.0,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_sysbp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_sysbp_min:0.9880,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
h1_temp_max,CONTINUOUS,23.7,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,h1_temp_min,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=h1_temp_min:0.8678,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
