feature,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent_observed
h1_temp_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's lowest core temperature during the first hour of their unit stay,23.695659284943247,303,36.3,36.94,0.6400000000000006,35.339999999999996,37.9,5890,8.416570211914664
h1_lactate_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99241110856694,536,1.3,3.6,2.3,-2.1499999999999995,7.05,616,8.387799564270153
d1_lactate_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.57612334129294,486,1.0,2.3,1.2999999999999998,-0.9499999999999997,4.25,1943,8.332975940301068
h1_bun_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.87606991375269,258,13.0,31.0,18.0,-14.0,58.0,1314,7.905185898207195
h1_bun_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.87606991375269,258,13.0,31.0,18.0,-14.0,58.0,1309,7.875105282156178
h1_glucose_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.36809394524223,601,111.0,189.0,78.0,-6.0,306.0,3069,7.849305608839101
h1_glucose_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.36809394524223,588,106.0,179.0,73.0,-3.5,288.5,3052,7.805826235965115
pao2_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The partial pressure of oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27148822958577,2003,77.5,153.0,75.5,-35.75,266.25,1622,7.78124250419765
d1_bun_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.464023638960672,495,13.0,31.0,18.0,-14.0,58.0,6144,7.566595647729652
d1_bun_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.464023638960672,472,12.0,29.0,17.0,-13.5,54.5,6034,7.431125999088659
h1_sodium_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.17852430953081,99,136.0,141.0,5.0,128.5,148.5,1411,7.388981985756179
h1_arterial_pco2_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82250062695583,779,36.0,49.2,13.200000000000003,16.199999999999996,69.0,1157,7.344166560873429
d1_arterial_po2_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.61679369336953,1822,69.0,116.0,47.0,-1.5,186.5,2364,7.284829435148378
h1_hco3_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,82.969698952166,198,20.0,25.0,5.0,12.5,32.5,1130,7.234778154811447
h1_arterial_pco2_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82250062695583,768,35.0,48.0,13.0,15.5,67.5,1128,7.16008632728196
h1_hco3_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,82.969698952166,214,20.0,25.1,5.100000000000001,12.349999999999998,32.75,1115,7.138741276650233
h1_arterial_po2_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.80723561545256,1729,77.0,178.0,101.0,-74.5,329.5,1120,7.102993404363267
bun_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score,21.00247511257946,476,13.0,32.0,19.0,-15.5,60.5,5127,7.076506880512347
d1_temp_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay,2.5339919095439036,209,36.1,36.66,0.5599999999999952,35.260000000000005,37.499999999999986,6216,6.953875756524852
d1_mbp_invasive_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, invasively measured",73.90119176125522,118,54.0,72.0,18.0,27.0,99.0,1641,6.855782085561497
d1_arterial_po2_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.61679369336953,2428,88.1,206.0,117.9,-88.75000000000003,382.85,2148,6.619210501987611
d1_spo2_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36308920218507734,101,89.0,95.0,6.0,80.0,104.0,5973,6.536441234405778
d1_glucose_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.331708699966199,538,117.0,201.0,84.0,-9.0,327.0,5390,6.274299816078038
d1_temp_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured",2.5339919095439036,186,36.9,37.6,0.7000000000000028,35.849999999999994,38.650000000000006,5572,6.233429169137142
d1_hco3_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,16.43278488327718,255,21.0,26.0,5.0,13.5,33.5,4742,6.187208058244827
d1_arterial_pco2_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.62660691505022,831,36.0,50.0,14.0,15.0,71.0,1994,6.146353492386412
d1_arterial_pco2_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.62660691505022,674,32.0,43.0,11.0,15.5,59.5,1830,5.640835953393749
paco2_for_ph_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27148822958577,704,34.4,47.0,12.600000000000001,15.499999999999996,65.9,1146,5.497721276085392
paco2_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27148822958577,704,34.4,47.0,12.600000000000001,15.499999999999996,65.9,1146,5.497721276085392
h1_potassium_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.61698995780316,113,3.7,4.5,0.7999999999999998,2.5000000000000004,5.699999999999999,1078,5.4969149966855335
d1_resprate_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's lowest respiratory rate during the first 24 hours of their unit stay,0.4197878163401045,55,10.0,16.0,6.0,1.0,25.0,4754,5.20541345480028
d1_sodium_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,11.11619944827887,71,137.0,142.0,5.0,129.5,149.5,4172,5.1178880737996515
d1_resprate_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay,0.4197878163401045,79,22.0,32.0,10.0,7.0,47.0,4638,5.078398738612474
d1_sysbp_invasive_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.09963691079781,163,80.0,107.0,27.0,39.5,147.5,1202,5.060200387303191
apache_3j_diagnosis,HIGH,HIGH_OUTLIER_PERCENT,string,The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission,1.2004841189362467,399,203.01,703.03,500.02,-547.02,1453.06,4575,5.0490001324327904
glucose_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The glucose concentration measured during the first 24 hours which results in the highest APACHE III score,12.033190496439982,565,97.0,196.0,99.0,-51.5,344.5,3874,4.801864224004363
h1_arterial_po2_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.80723561545256,1737,80.7,216.0,135.3,-122.25000000000001,418.95000000000005,743,4.712075088787417
h1_resprate_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's lowest respiratory rate during the first hour of their unit stay,4.750689651412559,91,14.0,20.0,6.0,5.0,29.0,3986,4.562937863455287
urineoutput_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The total urine output for the first 24 hours,53.4253595455388,24772,740.3616,2324.5488,1584.1872,-1635.9192,4700.8296,1944,4.551094463303289
d1_wbc_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest white blood cell count for the patient during the first 24 hours of their unit stay,14.364375824583211,3098,8.0,15.2,7.199999999999999,-2.799999999999999,26.0,3522,4.484396287194897
h1_spo2_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay,4.563148081515162,100,94.0,99.0,5.0,86.5,106.5,3915,4.472854400877433
d1_glucose_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.331708699966199,256,91.0,131.0,40.0,31.0,191.0,3782,4.402486438665519
d1_wbc_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest white blood cell count for the patient during the first 24 hours of their unit stay,14.364375824583211,2774,7.4,13.73,6.33,-2.0950000000000006,23.225,3417,4.350704745413107
d1_diasbp_invasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.12689585991082,145,65.0,88.0,23.0,30.5,122.5,1028,4.332251675165409
h1_sodium_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.17852430953081,113,135.0,141.0,6.0,126.0,150.0,816,4.27314620863008
wbc_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The white blood cell count measured during the first 24 hours which results in the highest APACHE III score,24.000959515008777,3075,7.5,15.1,7.6,-3.8999999999999986,26.5,2866,4.111849184373251
h1_mbp_invasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, invasively measured",81.60675149651631,247,78.0,104.0,26.0,39.0,143.0,692,4.1021993004920265
ph_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The pH from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27148822958577,555,7.308,7.419,0.11099999999999977,7.141500000000001,7.5855,838,4.020148716718638
h1_arterial_ph_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest arterial pH for the patient during the first hour of their unit stay,83.32951708045752,579,7.28,7.4,0.1200000000000001,7.1,7.58,605,3.9570933350775066
h1_resprate_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's highest respiratory rate during the first hour of their unit stay,4.750689651412559,50,18.0,26.0,8.0,6.0,38.0,3454,3.95393561976281
d1_sysbp_invasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.09963691079781,225,134.0,170.0,36.0,80.0,224.0,929,3.910920266060453
d1_hco3_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,16.43278488327718,223,22.0,27.0,5.0,14.5,34.5,2964,3.8673312283082386
sodium_apache,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The sodium concentration measured during the first 24 hours which results in the highest APACHE III score,20.280658140067384,119,135.0,141.0,6.0,126.0,150.0,2775,3.7954946452751224
d1_diasbp_invasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.12689585991082,85,39.0,54.0,15.0,16.5,76.5,897,3.7801845842639805
h1_arterial_ph_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest arterial pH for the patient during the first hour of their unit stay,83.32951708045752,561,7.29,7.41,0.1200000000000001,7.109999999999999,7.59,570,3.7281705801556675
bmi,MEDIUM,MODERATE_OUTLIER_PERCENT,string,The body mass index of the person on unit admission,3.738837460338229,34888,23.64197531,32.930205695,9.288230384999999,9.709629732500002,46.8625512725,3289,3.7254768701010375
d1_arterial_ph_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest arterial pH for the patient during the first 24 hours of their unit stay,65.55559190082104,624,7.27,7.4,0.13000000000000078,7.074999999999998,7.5950000000000015,1147,3.6308958531180755
h1_wbc_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest white blood cell count for the patient during the first hour of their unit stay,82.81595847916871,2072,8.6,16.7,8.1,-3.549999999999999,28.849999999999998,549,3.4835025380710665
d1_potassium_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,10.451081089921821,100,3.8,4.6,0.7999999999999998,2.6,5.799999999999999,2827,3.442187804402883
h1_platelets_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest platelet count for the patient during the first hour of their unit stay,82.51065824910319,545,132.0,240.0,108.0,-30.0,402.0,545,3.3977556109725686
h1_platelets_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest platelet count for the patient during the first hour of their unit stay,82.51065824910319,544,133.0,241.0,108.0,-29.0,403.0,542,3.3790523690773067
h1_wbc_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest white blood cell count for the patient during the first hour of their unit stay,82.81595847916871,2075,8.6,16.8,8.200000000000001,-3.700000000000001,29.1,527,3.343908629441624
d1_arterial_ph_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest arterial pH for the patient during the first 24 hours of their unit stay,65.55559190082104,527,7.341,7.44,0.0990000000000002,7.1925,7.588500000000001,1054,3.336498892054448
h1_potassium_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.61698995780316,115,3.7,4.6,0.8999999999999995,2.350000000000001,5.949999999999999,652,3.3246647289786346
d1_platelets_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest platelet count for the patient during the first 24 hours of their unit stay,14.658772475003543,559,148.0,251.0,103.0,-6.5,405.5,2522,3.222220802616617
h1_spo2_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay,4.563148081515162,72,97.0,100.0,3.0,92.5,104.5,2561,2.9259208481857235
weight,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The weight (body mass) of the person on unit admission,2.965773663493725,3409,66.8,97.1,30.299999999999997,21.35,142.54999999999998,2563,2.8800017978942165
d1_sodium_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,11.11619944827887,138,135.0,141.0,6.0,126.0,150.0,2340,2.8705316617188843
d1_platelets_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest platelet count for the patient during the first 24 hours of their unit stay,14.658772475003543,540,138.0,242.0,104.0,-18.0,398.0,2238,2.859369609934968
arf_apache,MEDIUM,LOW_UNIQUE_VALUES | MODERATE_OUTLIER_PERCENT,binary,"Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis",0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,2546,2.7978636893118534
d1_potassium_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,10.451081089921821,116,3.6,4.3,0.6999999999999997,2.5500000000000007,5.35,2156,2.62517046561465
immunosuppression,MEDIUM,LOW_UNIQUE_VALUES | MODERATE_OUTLIER_PERCENT,binary,"Whether the patient has their immune system suppressed within six months prior to ICU admission for any of the following reasons; radiation therapy, chemotherapy, use of non-cytotoxic immunosuppressive drugs, high dose steroids (at least 0.3 mg/kg/day of methylprednisolone or equivalent for at least 6 months).",0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,2381,2.6165410228796238
d1_diasbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.1339722831005419,120,75.0,99.0,24.0,39.0,135.0,2346,2.587319268139358
d1_diasbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17990906414575905,120,75.0,99.0,24.0,39.0,135.0,2359,2.5767903176475726
d1_calcium_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,14.249888238308635,47,7.9,8.8,0.9000000000000004,6.55,10.150000000000002,1912,2.431208992421545
d1_diasbp_noninvasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.1339722831005419,78,42.0,58.0,16.0,18.0,82.0,2190,2.4152724625853343
d1_diasbp_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17990906414575905,78,42.0,58.0,16.0,18.0,82.0,2194,2.3965569974221177
d1_calcium_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,14.249888238308635,49,7.7,8.7,0.9999999999999991,6.200000000000001,10.199999999999998,1861,2.3663597985860334
h1_mbp_invasive_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, invasively measured",81.60675149651631,133,63.0,88.0,25.0,25.5,125.5,391,2.31786116545142
h1_calcium_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The highest calcium concentration of the patient in their serum during the first hour of their unit stay,82.71782626236194,59,7.7,8.8,1.1000000000000005,6.049999999999999,10.450000000000001,362,2.2839116719242902
h1_calcium_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The lowest calcium concentration of the patient in their serum during the first hour of their unit stay,82.71782626236194,62,7.7,8.8,1.1000000000000005,6.049999999999999,10.450000000000001,362,2.2839116719242902
h1_diasbp_invasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, invasively measured",81.69834156553597,103,57.0,77.0,20.0,27.0,107.0,377,2.2460530235329164
d1_mbp_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.2398787521943454,125,90.0,116.0,26.0,51.0,155.0,2041,2.2307717530302864
d1_heartrate_min,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,The patient's lowest heart rate during the first 24 hours of their unit stay,0.15810190485536402,154,60.0,81.0,21.0,28.5,112.5,1984,2.1666957889218943
d1_mbp_noninvasive_max,MEDIUM,MODERATE_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.612639429524713,122,90.0,116.0,26.0,51.0,155.0,1937,2.1466409557373054
