feature,semantic_type,level1_status,survived_nonmissing,died_nonmissing,survived_missing_percent,died_missing_percent,plot_file
d1_hemaglobin_min,CONTINUOUS,KEEP_FOR_NOW,72614,6952,13.35,12.17,d1_hemaglobin_min_target_distribution.png
d1_hematocrit_max,CONTINUOUS,KEEP_FOR_NOW,73098,6961,12.77,12.05,d1_hematocrit_max_target_distribution.png
d1_hematocrit_min,CONTINUOUS,KEEP_FOR_NOW,73098,6961,12.77,12.05,d1_hematocrit_min_target_distribution.png
d1_inr_max,CONTINUOUS,KEEP_FOR_NOW,29705,4067,64.55,48.62,d1_inr_max_target_distribution.png
d1_inr_min,CONTINUOUS,KEEP_FOR_NOW,29705,4067,64.55,48.62,d1_inr_min_target_distribution.png
d1_lactate_max,CONTINUOUS,KEEP_FOR_NOW,19296,4021,76.97,49.2,d1_lactate_max_target_distribution.png
d1_lactate_min,CONTINUOUS,KEEP_FOR_NOW,19296,4021,76.97,49.2,d1_lactate_min_target_distribution.png
d1_mbp_invasive_max,CONTINUOUS,KEEP_FOR_NOW,20913,3023,75.04,61.81,d1_mbp_invasive_max_target_distribution.png
d1_mbp_invasive_min,CONTINUOUS,KEEP_FOR_NOW,20913,3023,75.04,61.81,d1_mbp_invasive_min_target_distribution.png
d1_mbp_max,CONTINUOUS,KEEP_FOR_NOW,83607,7886,0.23,0.37,d1_mbp_max_target_distribution.png
d1_mbp_min,CONTINUOUS,KEEP_FOR_NOW,83607,7886,0.23,0.37,d1_mbp_min_target_distribution.png
d1_mbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,82448,7786,1.61,1.63,d1_mbp_noninvasive_max_target_distribution.png
d1_mbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,82448,7786,1.61,1.63,d1_mbp_noninvasive_min_target_distribution.png
d1_pao2fio2ratio_max,CONTINUOUS,KEEP_FOR_NOW,21270,4435,74.62,43.97,d1_pao2fio2ratio_max_target_distribution.png
d1_pao2fio2ratio_min,CONTINUOUS,KEEP_FOR_NOW,21270,4435,74.62,43.97,d1_pao2fio2ratio_min_target_distribution.png
d1_platelets_max,CONTINUOUS,KEEP_FOR_NOW,71447,6822,14.74,13.81,d1_platelets_max_target_distribution.png
d1_platelets_min,CONTINUOUS,KEEP_FOR_NOW,71447,6822,14.74,13.81,d1_platelets_min_target_distribution.png
d1_potassium_max,CONTINUOUS,KEEP_FOR_NOW,75008,7120,10.49,10.04,d1_potassium_max_target_distribution.png
d1_potassium_min,CONTINUOUS,KEEP_FOR_NOW,75008,7120,10.49,10.04,d1_potassium_min_target_distribution.png
d1_resprate_max,CONTINUOUS,KEEP_FOR_NOW,83458,7870,0.41,0.57,d1_resprate_max_target_distribution.png
d1_resprate_min,CONTINUOUS,KEEP_FOR_NOW,83458,7870,0.41,0.57,d1_resprate_min_target_distribution.png
d1_sodium_max,CONTINUOUS,KEEP_FOR_NOW,74386,7132,11.23,9.89,d1_sodium_max_target_distribution.png
d1_sodium_min,CONTINUOUS,KEEP_FOR_NOW,74386,7132,11.23,9.89,d1_sodium_min_target_distribution.png
d1_spo2_max,CONTINUOUS,KEEP_FOR_NOW,83515,7865,0.34,0.63,d1_spo2_max_target_distribution.png
d1_spo2_min,CONTINUOUS,KEEP_FOR_NOW,83515,7865,0.34,0.63,d1_spo2_min_target_distribution.png
d1_sysbp_invasive_max,CONTINUOUS,KEEP_FOR_NOW,20756,2998,75.23,62.12,d1_sysbp_invasive_max_target_distribution.png
d1_sysbp_invasive_min,CONTINUOUS,KEEP_FOR_NOW,20756,2998,75.23,62.12,d1_sysbp_invasive_min_target_distribution.png
d1_sysbp_max,CONTINUOUS,KEEP_FOR_NOW,83670,7884,0.15,0.39,d1_sysbp_max_target_distribution.png
d1_sysbp_min,CONTINUOUS,KEEP_FOR_NOW,83670,7884,0.15,0.39,d1_sysbp_min_target_distribution.png
d1_sysbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,82879,7807,1.1,1.36,d1_sysbp_noninvasive_max_target_distribution.png
d1_sysbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,82879,7807,1.1,1.36,d1_sysbp_noninvasive_min_target_distribution.png
d1_temp_max,CONTINUOUS,KEEP_FOR_NOW,81792,7597,2.39,4.02,d1_temp_max_target_distribution.png
d1_temp_min,CONTINUOUS,KEEP_FOR_NOW,81792,7597,2.39,4.02,d1_temp_min_target_distribution.png
d1_wbc_max,CONTINUOUS,KEEP_FOR_NOW,71705,6834,14.43,13.66,d1_wbc_max_target_distribution.png
d1_wbc_min,CONTINUOUS,KEEP_FOR_NOW,71705,6834,14.43,13.66,d1_wbc_min_target_distribution.png
fio2_apache,CONTINUOUS,KEEP_FOR_NOW,17133,3712,79.55,53.1,fio2_apache_target_distribution.png
glucose_apache,CONTINUOUS,KEEP_FOR_NOW,73603,7074,12.17,10.63,glucose_apache_target_distribution.png
h1_diasbp_max,CONTINUOUS,KEEP_FOR_NOW,80461,7633,3.98,3.56,h1_diasbp_max_target_distribution.png
h1_diasbp_min,CONTINUOUS,KEEP_FOR_NOW,80461,7633,3.98,3.56,h1_diasbp_min_target_distribution.png
h1_diasbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,76918,7445,8.21,5.94,h1_diasbp_noninvasive_max_target_distribution.png
h1_diasbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,76918,7445,8.21,5.94,h1_diasbp_noninvasive_min_target_distribution.png
h1_glucose_max,CONTINUOUS,KEEP_FOR_NOW,35361,3738,57.8,52.77,h1_glucose_max_target_distribution.png
h1_glucose_min,CONTINUOUS,KEEP_FOR_NOW,35361,3738,57.8,52.77,h1_glucose_min_target_distribution.png
h1_heartrate_max,CONTINUOUS,KEEP_FOR_NOW,81214,7709,3.08,2.6,h1_heartrate_max_target_distribution.png
h1_heartrate_min,CONTINUOUS,KEEP_FOR_NOW,81214,7709,3.08,2.6,h1_heartrate_min_target_distribution.png
h1_hemaglobin_max,CONTINUOUS,KEEP_FOR_NOW,16644,1946,80.14,75.41,h1_hemaglobin_max_target_distribution.png
h1_hemaglobin_min,CONTINUOUS,KEEP_FOR_NOW,16644,1946,80.14,75.41,h1_hemaglobin_min_target_distribution.png
h1_inr_max,CONTINUOUS,KEEP_FOR_NOW,29705,4067,64.55,48.62,h1_inr_max_target_distribution.png
h1_inr_min,CONTINUOUS,KEEP_FOR_NOW,29705,4067,64.55,48.62,h1_inr_min_target_distribution.png
h1_mbp_max,CONTINUOUS,KEEP_FOR_NOW,79506,7568,5.12,4.38,h1_mbp_max_target_distribution.png
h1_mbp_min,CONTINUOUS,KEEP_FOR_NOW,79506,7568,5.12,4.38,h1_mbp_min_target_distribution.png
h1_mbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,75277,7352,10.17,7.11,h1_mbp_noninvasive_max_target_distribution.png
h1_mbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,75277,7352,10.17,7.11,h1_mbp_noninvasive_min_target_distribution.png
h1_potassium_max,CONTINUOUS,KEEP_FOR_NOW,17515,2096,79.1,73.52,h1_potassium_max_target_distribution.png
h1_potassium_min,CONTINUOUS,KEEP_FOR_NOW,17515,2096,79.1,73.52,h1_potassium_min_target_distribution.png
h1_resprate_max,CONTINUOUS,KEEP_FOR_NOW,79780,7576,4.79,4.28,h1_resprate_max_target_distribution.png
h1_resprate_min,CONTINUOUS,KEEP_FOR_NOW,79780,7576,4.79,4.28,h1_resprate_min_target_distribution.png
h1_sodium_max,CONTINUOUS,KEEP_FOR_NOW,17012,2084,79.7,73.67,h1_sodium_max_target_distribution.png
h1_sodium_min,CONTINUOUS,KEEP_FOR_NOW,17012,2084,79.7,73.67,h1_sodium_min_target_distribution.png
h1_spo2_max,CONTINUOUS,KEEP_FOR_NOW,79986,7542,4.55,4.71,h1_spo2_max_target_distribution.png
h1_spo2_min,CONTINUOUS,KEEP_FOR_NOW,79986,7542,4.55,4.71,h1_spo2_min_target_distribution.png
h1_sysbp_max,CONTINUOUS,KEEP_FOR_NOW,80468,7634,3.97,3.55,h1_sysbp_max_target_distribution.png
h1_sysbp_min,CONTINUOUS,KEEP_FOR_NOW,80468,7634,3.97,3.55,h1_sysbp_min_target_distribution.png
h1_sysbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,76927,7445,8.2,5.94,h1_sysbp_noninvasive_max_target_distribution.png
h1_sysbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,76927,7445,8.2,5.94,h1_sysbp_noninvasive_min_target_distribution.png
h1_temp_max,CONTINUOUS,KEEP_FOR_NOW,64082,5899,23.53,25.47,h1_temp_max_target_distribution.png
h1_temp_min,CONTINUOUS,KEEP_FOR_NOW,64082,5899,23.53,25.47,h1_temp_min_target_distribution.png
heart_rate_apache,CONTINUOUS,KEEP_FOR_NOW,83026,7809,0.92,1.34,heart_rate_apache_target_distribution.png
height,CONTINUOUS,KEEP_FOR_NOW,82654,7725,1.37,2.4,height_target_distribution.png
hematocrit_apache,CONTINUOUS,KEEP_FOR_NOW,65500,6335,21.84,19.96,hematocrit_apache_target_distribution.png
map_apache,CONTINUOUS,KEEP_FOR_NOW,82928,7791,1.04,1.57,map_apache_target_distribution.png
paco2_apache,CONTINUOUS,KEEP_FOR_NOW,17133,3712,79.55,53.1,paco2_apache_target_distribution.png
paco2_for_ph_apache,CONTINUOUS,KEEP_FOR_NOW,17133,3712,79.55,53.1,paco2_for_ph_apache_target_distribution.png
pao2_apache,CONTINUOUS,KEEP_FOR_NOW,17133,3712,79.55,53.1,pao2_apache_target_distribution.png
ph_apache,CONTINUOUS,KEEP_FOR_NOW,17133,3712,79.55,53.1,ph_apache_target_distribution.png
pre_icu_los_days,CONTINUOUS,INVESTIGATE,83798,7915,0.0,0.0,pre_icu_los_days_target_distribution.png
resprate_apache,CONTINUOUS,KEEP_FOR_NOW,82687,7792,1.33,1.55,resprate_apache_target_distribution.png
sodium_apache,CONTINUOUS,KEEP_FOR_NOW,66570,6543,20.56,17.33,sodium_apache_target_distribution.png
temp_apache,CONTINUOUS,KEEP_FOR_NOW,80249,7356,4.24,7.06,temp_apache_target_distribution.png
urineoutput_apache,CONTINUOUS,KEEP_FOR_NOW,39508,3207,52.85,59.48,urineoutput_apache_target_distribution.png
wbc_apache,CONTINUOUS,KEEP_FOR_NOW,63558,6143,24.15,22.39,wbc_apache_target_distribution.png
weight,CONTINUOUS,KEEP_FOR_NOW,81319,7674,2.96,3.04,weight_target_distribution.png
gcs_eyes_apache,ORDINAL,KEEP_FOR_NOW,82226,7586,1.88,4.16,gcs_eyes_apache_target_distribution.png
gcs_motor_apache,ORDINAL,KEEP_FOR_NOW,82226,7586,1.88,4.16,gcs_motor_apache_target_distribution.png
gcs_verbal_apache,ORDINAL,KEEP_FOR_NOW,82226,7586,1.88,4.16,gcs_verbal_apache_target_distribution.png
