feature,missing_count,present_count,missing_percent,mortality_when_missing,mortality_when_present,mortality_difference,absolute_mortality_difference,dictionary_category
h1_hco3_max,76094,15619,82.969698952166,0.08124162220411596,0.11095460656892246,0.029712984364806502,0.029712984364806502,labs
h1_sodium_max,72617,19096,79.17852430953081,0.08029800184529794,0.10913280268118977,0.028834800835891836,0.028834800835891836,labs
h1_sodium_min,72617,19096,79.17852430953081,0.08029800184529794,0.10913280268118977,0.028834800835891836,0.028834800835891836,labs
h1_bun_min,75091,16622,81.87606991375269,0.08130135435671386,0.10889183010468054,0.027590475747966678,0.027590475747966678,labs
h1_bun_max,75091,16622,81.87606991375269,0.08130135435671386,0.10889183010468054,0.027590475747966678,0.027590475747966678,labs
h1_creatinine_max,74957,16756,81.72996194650703,0.08137999119495178,0.10831940797326331,0.026939416778311534,0.026939416778311534,labs
h1_creatinine_min,74957,16756,81.72996194650703,0.08137999119495178,0.10831940797326331,0.026939416778311534,0.026939416778311534,labs
h1_potassium_min,72102,19611,78.61698995780316,0.08070511220215805,0.10687879251440519,0.026173680312247136,0.026173680312247136,labs
h1_potassium_max,72102,19611,78.61698995780316,0.08070511220215805,0.10687879251440519,0.026173680312247136,0.026173680312247136,labs
h1_calcium_min,75863,15850,82.71782626236194,0.08180535966149506,0.10782334384858044,0.026017984187085383,0.026017984187085383,labs
h1_calcium_max,75863,15850,82.71782626236194,0.08180535966149506,0.10782334384858044,0.026017984187085383,0.026017984187085383,labs
h1_hemaglobin_max,73123,18590,79.73024543957781,0.08162958303133078,0.10467993544916622,0.023050352417835443,0.023050352417835443,labs
h1_hemaglobin_min,73123,18590,79.73024543957781,0.08162958303133078,0.10467993544916622,0.023050352417835443,0.023050352417835443,labs
urineoutput_apache,48998,42715,53.4253595455388,0.09608555451242907,0.07507901205665457,-0.021006542455774505,0.021006542455774505,APACHE covariate
h1_platelets_min,75673,16040,82.51065824910319,0.08265827970346094,0.10349127182044887,0.020832992116987928,0.020832992116987928,labs
h1_platelets_max,75673,16040,82.51065824910319,0.08265827970346094,0.10349127182044887,0.020832992116987928,0.020832992116987928,labs
h1_wbc_max,75953,15760,82.81595847916871,0.0827485418614143,0.1034263959390863,0.020677854077672003,0.020677854077672003,labs
h1_wbc_min,75953,15760,82.81595847916871,0.0827485418614143,0.1034263959390863,0.020677854077672003,0.020677854077672003,labs
h1_hematocrit_max,73420,18293,80.05408175504019,0.0823208934895124,0.10227956048761822,0.01995866699810582,0.01995866699810582,labs
h1_hematocrit_min,73420,18293,80.05408175504019,0.0823208934895124,0.10227956048761822,0.01995866699810582,0.01995866699810582,labs
h1_glucose_min,52614,39099,57.36809394524223,0.07938951609837686,0.09560346811938925,0.01621395202101239,0.01621395202101239,labs
h1_glucose_max,52614,39099,57.36809394524223,0.07938951609837686,0.09560346811938925,0.01621395202101239,0.01621395202101239,labs
h1_diasbp_invasive_min,74928,16785,81.69834156553597,0.08871183002348922,0.07554364015490021,-0.013168189868589003,0.013168189868589003,vitals
h1_diasbp_invasive_max,74928,16785,81.69834156553597,0.08871183002348922,0.07554364015490021,-0.013168189868589003,0.013168189868589003,vitals
h1_sysbp_invasive_min,74915,16798,81.68416691199721,0.08863378495628378,0.07590189308250982,-0.012731891873773965,0.012731891873773965,vitals
h1_sysbp_invasive_max,74915,16798,81.68416691199721,0.08863378495628378,0.07590189308250982,-0.012731891873773965,0.012731891873773965,vitals
h1_mbp_invasive_min,74844,16869,81.60675149651631,0.08839719950831063,0.07700515738929398,-0.011392042119016649,0.011392042119016649,vitals
h1_mbp_invasive_max,74844,16869,81.60675149651631,0.08839719950831063,0.07700515738929398,-0.011392042119016649,0.011392042119016649,vitals
