feature,diagnosis_code,patient_count,death_count,mortality_rate
apache_3j_diagnosis,1202.07,114,9,7.8947
apache_3j_diagnosis,601.08,113,10,8.8496
apache_3j_diagnosis,1408.08,113,6,5.3097
apache_3j_diagnosis,109.05,111,7,6.3063
apache_3j_diagnosis,1503.02,111,3,2.7027
apache_3j_diagnosis,1301.02,110,1,0.9091
apache_3j_diagnosis,1501.01,109,28,25.6881
apache_3j_diagnosis,1208.1,108,1,0.9259
apache_3j_diagnosis,1303.01,107,1,0.9346
apache_3j_diagnosis,601.03,104,5,4.8077
apache_3j_diagnosis,1304.05,104,4,3.8462
apache_3j_diagnosis,211.12,101,15,14.8515
apache_3j_diagnosis,605.01,100,7,7.0
apache_3j_diagnosis,1212.01,100,4,4.0
apache_3j_diagnosis,1208.13,100,2,2.0
apache_3j_diagnosis,1206.01,99,8,8.0808
apache_3j_diagnosis,602.11,99,3,3.0303
apache_3j_diagnosis,303.01,98,7,7.1429
apache_3j_diagnosis,1207.03,98,3,3.0612
apache_3j_diagnosis,404.03,97,6,6.1856
apache_3j_diagnosis,1303.02,95,3,3.1579
apache_3j_diagnosis,213.01,93,9,9.6774
apache_3j_diagnosis,901.04,92,1,1.087
apache_3j_diagnosis,307.02,91,11,12.0879
apache_3j_diagnosis,1701.02,89,3,3.3708
apache_3j_diagnosis,1202.05,88,1,1.1364
apache_3j_diagnosis,1505.02,88,1,1.1364
apache_3j_diagnosis,1413.01,87,7,8.046
apache_3j_diagnosis,1207.02,87,2,2.2989
apache_3j_diagnosis,1801.01,85,1,1.1765
apache_3j_diagnosis,1703.04,84,3,3.5714
apache_3j_diagnosis,1208.03,83,0,0.0
apache_3j_diagnosis,1902.02,80,10,12.5
apache_3j_diagnosis,1304.1,80,2,2.5
apache_3j_diagnosis,1304.08,80,1,1.25
apache_3j_diagnosis,704.1,78,1,1.2821
apache_3j_diagnosis,1405.03,76,8,10.5263
apache_3j_diagnosis,801.01,76,7,9.2105
apache_3j_diagnosis,1408.01,76,2,2.6316
apache_3j_diagnosis,1211.02,76,1,1.3158
apache_3j_diagnosis,402.01,75,14,18.6667
apache_3j_diagnosis,1209.02,75,12,16.0
apache_3j_diagnosis,1506.06,75,0,0.0
apache_3j_diagnosis,1602.19,71,5,7.0423
apache_3j_diagnosis,313.01,70,5,7.1429
apache_3j_diagnosis,408.01,70,2,2.8571
apache_3j_diagnosis,1506.09,70,1,1.4286
apache_3j_diagnosis,602.06,68,1,1.4706
apache_3j_diagnosis,604.06,67,5,7.4627
apache_3j_diagnosis,901.01,65,11,16.9231
apache_3j_diagnosis,1601.01,65,10,15.3846
apache_3j_diagnosis,1409.01,64,5,7.8125
apache_3j_diagnosis,1506.03,63,0,0.0
apache_3j_diagnosis,2201.05,61,1,1.6393
apache_3j_diagnosis,109.06,60,10,16.6667
apache_3j_diagnosis,1208.09,60,0,0.0
apache_3j_diagnosis,1202.03,58,6,10.3448
apache_3j_diagnosis,1101.07,58,3,5.1724
apache_3j_diagnosis,1503.01,57,0,0.0
apache_3j_diagnosis,1504.04,57,0,0.0
apache_3j_diagnosis,310.01,56,8,14.2857
apache_3j_diagnosis,1903.03,56,1,1.7857
apache_3j_diagnosis,602.07,56,0,0.0
apache_3j_diagnosis,1903.02,53,0,0.0
apache_3j_diagnosis,109.07,52,1,1.9231
apache_3j_diagnosis,406.04,52,1,1.9231
apache_3j_diagnosis,602.15,52,0,0.0
apache_3j_diagnosis,1801.02,51,0,0.0
apache_3j_diagnosis,1506.04,50,2,4.0
apache_3j_diagnosis,602.01,50,0,0.0
apache_3j_diagnosis,1408.13,49,2,4.0816
apache_3j_diagnosis,1701.01,49,2,4.0816
apache_3j_diagnosis,1210.01,48,8,16.6667
apache_3j_diagnosis,801.04,48,8,16.6667
apache_3j_diagnosis,1208.07,48,2,4.1667
apache_3j_diagnosis,901.06,48,2,4.1667
apache_3j_diagnosis,1408.09,48,1,2.0833
apache_3j_diagnosis,1902.01,47,2,4.2553
apache_3j_diagnosis,406.03,47,2,4.2553
apache_3j_diagnosis,1602.14,47,1,2.1277
apache_3j_diagnosis,1301.01,46,1,2.1739
apache_3j_diagnosis,1504.05,46,0,0.0
apache_3j_diagnosis,1902.04,46,0,0.0
apache_3j_diagnosis,1209.01,45,5,11.1111
apache_3j_diagnosis,109.13,45,3,6.6667
apache_3j_diagnosis,1302.03,45,2,4.4444
apache_3j_diagnosis,1409.02,45,2,4.4444
apache_3j_diagnosis,406.02,45,1,2.2222
apache_3j_diagnosis,1602.04,44,3,6.8182
apache_3j_diagnosis,1408.04,44,2,4.5455
apache_3j_diagnosis,0.23,44,0,0.0
apache_3j_diagnosis,1212.02,43,4,9.3023
apache_3j_diagnosis,1405.06,43,4,9.3023
apache_3j_diagnosis,602.04,43,3,6.9767
apache_3j_diagnosis,307.05,43,2,4.6512
apache_3j_diagnosis,604.02,43,2,4.6512
apache_3j_diagnosis,704.08,43,1,2.3256
apache_3j_diagnosis,313.04,43,0,0.0
apache_3j_diagnosis,602.21,42,4,9.5238
apache_3j_diagnosis,404.01,42,2,4.7619
apache_3j_diagnosis,1408.07,41,1,2.439
apache_3j_diagnosis,604.04,41,0,0.0
apache_3j_diagnosis,1703.05,40,3,7.5
apache_3j_diagnosis,501.03,40,3,7.5
apache_3j_diagnosis,0.22,40,1,2.5
apache_3j_diagnosis,602.19,38,4,10.5263
apache_3j_diagnosis,1403.03,37,6,16.2162
apache_3j_diagnosis,901.02,37,1,2.7027
apache_3j_diagnosis,1903.01,37,0,0.0
apache_3j_diagnosis,1208.08,36,1,2.7778
apache_3j_diagnosis,313.03,36,1,2.7778
apache_3j_diagnosis,1407.01,35,1,2.8571
apache_3j_diagnosis,602.14,35,1,2.8571
apache_3j_diagnosis,1506.01,34,2,5.8824
apache_3j_diagnosis,1602.01,34,1,2.9412
apache_3j_diagnosis,1304.07,33,2,6.0606
apache_3j_diagnosis,1504.01,33,0,0.0
apache_3j_diagnosis,1101.04,32,1,3.125
apache_3j_diagnosis,1302.01,32,0,0.0
apache_3j_diagnosis,801.03,31,5,16.129
apache_3j_diagnosis,1304.02,31,1,3.2258
apache_3j_diagnosis,1304.04,31,0,0.0
apache_3j_diagnosis,211.06,30,6,20.0
apache_3j_diagnosis,313.02,30,1,3.3333
apache_3j_diagnosis,602.16,30,0,0.0
apache_3j_diagnosis,1602.06,29,4,13.7931
apache_3j_diagnosis,109.12,29,0,0.0
apache_3j_diagnosis,1403.01,29,0,0.0
apache_3j_diagnosis,312.05,28,8,28.5714
apache_3j_diagnosis,602.02,28,1,3.5714
apache_3j_diagnosis,604.05,28,1,3.5714
apache_3j_diagnosis,109.15,28,0,0.0
apache_3j_diagnosis,1208.04,28,0,0.0
apache_3j_diagnosis,404.02,28,0,0.0
apache_3j_diagnosis,301.03,27,5,18.5185
apache_3j_diagnosis,1703.03,27,1,3.7037
apache_3j_diagnosis,602.08,26,2,7.6923
apache_3j_diagnosis,1704.01,26,0,0.0
apache_3j_diagnosis,801.02,25,4,16.0
apache_3j_diagnosis,1411.01,25,2,8.0
apache_3j_diagnosis,211.01,25,2,8.0
apache_3j_diagnosis,601.02,25,2,8.0
apache_3j_diagnosis,1803.02,25,0,0.0
apache_3j_diagnosis,602.13,25,0,0.0
apache_3j_diagnosis,903.01,25,0,0.0
apache_3j_diagnosis,313.05,24,5,20.8333
apache_3j_diagnosis,602.2,24,3,12.5
apache_3j_diagnosis,211.05,23,6,26.087
apache_3j_diagnosis,1412.01,23,2,8.6957
apache_3j_diagnosis,1208.05,23,0,0.0
apache_3j_diagnosis,1601.06,22,3,13.6364
apache_3j_diagnosis,211.11,22,3,13.6364
apache_3j_diagnosis,312.01,22,2,9.0909
apache_3j_diagnosis,601.07,22,2,9.0909
apache_3j_diagnosis,1403.02,22,1,4.5455
apache_3j_diagnosis,1506.05,22,1,4.5455
apache_3j_diagnosis,0.24,22,0,0.0
apache_3j_diagnosis,312.03,21,5,23.8095
apache_3j_diagnosis,1208.14,21,3,14.2857
apache_3j_diagnosis,1502.01,21,3,14.2857
apache_3j_diagnosis,1408.05,21,2,9.5238
apache_3j_diagnosis,802.09,21,1,4.7619
apache_3j_diagnosis,409.01,21,0,0.0
apache_3j_diagnosis,602.17,21,0,0.0
apache_3j_diagnosis,1208.11,20,1,5.0
apache_3j_diagnosis,704.06,20,0,0.0
apache_3j_diagnosis,1405.05,19,2,10.5263
apache_3j_diagnosis,1202.08,19,1,5.2632
apache_3j_diagnosis,1703.02,19,1,5.2632
apache_3j_diagnosis,1602.02,19,0,0.0
apache_3j_diagnosis,102.02,18,1,5.5556
apache_3j_diagnosis,1208.15,18,0,0.0
apache_3j_diagnosis,1701.03,18,0,0.0
apache_3j_diagnosis,1506.11,17,1,5.8824
apache_3j_diagnosis,1602.09,17,1,5.8824
apache_3j_diagnosis,1602.11,17,1,5.8824
apache_3j_diagnosis,1605.01,17,1,5.8824
apache_3j_diagnosis,1705.02,17,1,5.8824
apache_3j_diagnosis,1413.02,16,1,6.25
apache_3j_diagnosis,1601.04,16,1,6.25
apache_3j_diagnosis,1602.17,15,3,20.0
apache_3j_diagnosis,0.19,15,2,13.3333
apache_3j_diagnosis,0.2,15,1,6.6667
apache_3j_diagnosis,704.04,15,1,6.6667
apache_3j_diagnosis,0.11,15,0,0.0
apache_3j_diagnosis,1304.01,15,0,0.0
apache_3j_diagnosis,1602.15,15,0,0.0
apache_3j_diagnosis,901.05,15,0,0.0
apache_3j_diagnosis,1203.01,14,0,0.0
apache_3j_diagnosis,1504.02,14,0,0.0
apache_3j_diagnosis,704.09,14,0,0.0
apache_3j_diagnosis,802.04,13,5,38.4615
apache_3j_diagnosis,802.03,13,2,15.3846
apache_3j_diagnosis,1405.01,13,1,7.6923
apache_3j_diagnosis,602.1,13,0,0.0
apache_3j_diagnosis,1202.04,12,0,0.0
apache_3j_diagnosis,1506.1,12,0,0.0
apache_3j_diagnosis,2201.01,12,0,0.0
apache_3j_diagnosis,2201.03,12,0,0.0
apache_3j_diagnosis,1403.04,11,2,18.1818
apache_3j_diagnosis,1208.12,11,1,9.0909
apache_3j_diagnosis,1802.02,11,1,9.0909
apache_3j_diagnosis,604.03,11,1,9.0909
apache_3j_diagnosis,1506.08,11,0,0.0
apache_3j_diagnosis,1602.07,11,0,0.0
apache_3j_diagnosis,1703.01,11,0,0.0
apache_3j_diagnosis,602.05,11,0,0.0
apache_3j_diagnosis,312.02,10,1,10.0
apache_3j_diagnosis,1602.13,10,0,0.0
apache_3j_diagnosis,1604.03,10,0,0.0
apache_3j_diagnosis,1604.05,10,0,0.0
apache_3j_diagnosis,2201.02,10,0,0.0
apache_3j_diagnosis,802.02,10,0,0.0
apache_3j_diagnosis,312.04,9,4,44.4444
apache_3j_diagnosis,210.01,9,1,11.1111
apache_3j_diagnosis,604.01,9,1,11.1111
apache_3j_diagnosis,1304.06,9,0,0.0
apache_3j_diagnosis,1602.21,9,0,0.0
apache_3j_diagnosis,802.08,9,0,0.0
apache_3j_diagnosis,1703.08,8,0,0.0
apache_3j_diagnosis,704.02,8,0,0.0
apache_3j_diagnosis,1210.02,7,3,42.8571
apache_3j_diagnosis,211.07,7,1,14.2857
apache_3j_diagnosis,1601.08,6,3,50.0
apache_3j_diagnosis,1601.03,6,2,33.3333
apache_3j_diagnosis,210.02,6,1,16.6667
apache_3j_diagnosis,1408.12,6,0,0.0
apache_3j_diagnosis,1703.07,6,0,0.0
apache_3j_diagnosis,2101.01,6,0,0.0
apache_3j_diagnosis,1208.18,5,1,20.0
apache_3j_diagnosis,1602.16,5,1,20.0
apache_3j_diagnosis,0.14,5,0,0.0
apache_3j_diagnosis,1601.05,5,0,0.0
apache_3j_diagnosis,1602.05,5,0,0.0
apache_3j_diagnosis,2201.04,5,0,0.0
apache_3j_diagnosis,307.04,5,0,0.0
apache_3j_diagnosis,406.01,5,0,0.0
apache_3j_diagnosis,704.05,5,0,0.0
apache_3j_diagnosis,802.05,4,2,50.0
apache_3j_diagnosis,1705.04,4,1,25.0
apache_3j_diagnosis,0.04,4,0,0.0
apache_3j_diagnosis,1602.2,4,0,0.0
apache_3j_diagnosis,307.03,4,0,0.0
apache_3j_diagnosis,602.03,4,0,0.0
apache_3j_diagnosis,0.18,3,1,33.3333
apache_3j_diagnosis,1601.02,3,1,33.3333
apache_3j_diagnosis,1101.01,3,0,0.0
apache_3j_diagnosis,1101.02,3,0,0.0
apache_3j_diagnosis,1202.06,3,0,0.0
apache_3j_diagnosis,1208.02,3,0,0.0
apache_3j_diagnosis,1304.03,3,0,0.0
apache_3j_diagnosis,1408.02,3,0,0.0
apache_3j_diagnosis,1506.02,3,0,0.0
apache_3j_diagnosis,1602.03,3,0,0.0
apache_3j_diagnosis,1701.04,3,0,0.0
apache_3j_diagnosis,2101.03,3,0,0.0
apache_3j_diagnosis,802.06,3,0,0.0
apache_3j_diagnosis,101.02,2,1,50.0
apache_3j_diagnosis,0.09,2,0,0.0
apache_3j_diagnosis,0.15,2,0,0.0
apache_3j_diagnosis,0.21,2,0,0.0
apache_3j_diagnosis,1101.03,2,0,0.0
apache_3j_diagnosis,1101.09,2,0,0.0
apache_3j_diagnosis,1202.02,2,0,0.0
apache_3j_diagnosis,1408.11,2,0,0.0
apache_3j_diagnosis,1602.1,2,0,0.0
apache_3j_diagnosis,1604.01,2,0,0.0
apache_3j_diagnosis,1604.04,2,0,0.0
apache_3j_diagnosis,1705.05,2,0,0.0
apache_3j_diagnosis,408.03,2,0,0.0
apache_3j_diagnosis,802.07,2,0,0.0
apache_3j_diagnosis,0.01,1,0,0.0
apache_3j_diagnosis,0.02,1,0,0.0
apache_3j_diagnosis,0.03,1,0,0.0
apache_3j_diagnosis,0.06,1,0,0.0
apache_3j_diagnosis,0.13,1,0,0.0
apache_3j_diagnosis,1101.05,1,0,0.0
apache_3j_diagnosis,1202.01,1,0,0.0
apache_3j_diagnosis,1208.17,1,0,0.0
apache_3j_diagnosis,1408.1,1,0,0.0
apache_3j_diagnosis,1602.08,1,0,0.0
apache_3j_diagnosis,1604.02,1,0,0.0
apache_3j_diagnosis,1803.01,1,0,0.0
apache_3j_diagnosis,301.04,1,0,0.0
apache_3j_diagnosis,602.18,1,0,0.0
apache_3j_diagnosis,704.11,1,0,0.0
apache_3j_diagnosis,901.07,1,0,0.0
