column,dtype,missing_count,missing_percent,unique_values
d1_sysbp_min,float64,159,0.17336691635864054,120
d1_sysbp_noninvasive_max,float64,1027,1.119797629561785,143
d1_sysbp_noninvasive_min,float64,1027,1.119797629561785,120
d1_temp_max,float64,2324,2.5339919095439036,186
d1_temp_min,float64,2324,2.5339919095439036,209
h1_diasbp_invasive_max,float64,74928,81.69834156553597,103
h1_diasbp_invasive_min,float64,74928,81.69834156553597,86
h1_diasbp_max,float64,3619,3.946005473596982,107
h1_diasbp_min,float64,3619,3.946005473596982,92
h1_diasbp_noninvasive_max,float64,7350,8.014131039220176,108
h1_diasbp_noninvasive_min,float64,7350,8.014131039220176,93
h1_heartrate_max,float64,2790,3.0420987210101074,119
h1_heartrate_min,float64,2790,3.0420987210101074,109
h1_mbp_invasive_max,float64,74844,81.60675149651631,247
h1_mbp_invasive_min,float64,74844,81.60675149651631,133
h1_mbp_max,float64,4639,5.058170597407129,117
h1_mbp_min,float64,4639,5.058170597407129,107
h1_mbp_noninvasive_max,float64,9084,9.904811749697426,115
h1_mbp_noninvasive_min,float64,9084,9.904811749697426,107
h1_resprate_max,float64,4357,4.750689651412559,50
h1_resprate_min,float64,4357,4.750689651412559,91
h1_spo2_max,float64,4185,4.563148081515162,72
h1_spo2_min,float64,4185,4.563148081515162,100
h1_sysbp_invasive_max,float64,74915,81.68416691199721,181
h1_sysbp_invasive_min,float64,74915,81.68416691199721,168
h1_sysbp_max,float64,3611,3.937282609880824,149
h1_sysbp_min,float64,3611,3.937282609880824,142
h1_sysbp_noninvasive_max,float64,7341,8.004317817539498,149
h1_sysbp_noninvasive_min,float64,7341,8.004317817539498,143
h1_temp_max,float64,21732,23.695659284943247,294
h1_temp_min,float64,21732,23.695659284943247,303
d1_albumin_max,float64,49096,53.53221462606174,35
d1_albumin_min,float64,49096,53.53221462606174,35
d1_bilirubin_max,float64,53673,58.522783029668645,374
d1_bilirubin_min,float64,53673,58.522783029668645,357
d1_bun_max,float64,10514,11.464023638960672,495
d1_bun_min,float64,10514,11.464023638960672,472
d1_calcium_max,float64,13069,14.249888238308635,47
d1_calcium_min,float64,13069,14.249888238308635,49
d1_creatinine_max,float64,10169,11.087850141201356,1187
d1_creatinine_min,float64,10169,11.087850141201356,1093
d1_glucose_max,float64,5807,6.331708699966199,538
d1_glucose_min,float64,5807,6.331708699966199,256
d1_hco3_max,float64,15071,16.43278488327718,223
d1_hco3_min,float64,15071,16.43278488327718,255
d1_hemaglobin_max,float64,12147,13.244578195021425,105
d1_hemaglobin_min,float64,12147,13.244578195021425,115
d1_hematocrit_max,float64,11654,12.707031718513187,312
d1_hematocrit_min,float64,11654,12.707031718513187,340
d1_inr_max,float64,57941,63.17643082223894,481
d1_inr_min,float64,57941,63.17643082223894,393
d1_lactate_max,float64,68396,74.57612334129294,704
d1_lactate_min,float64,68396,74.57612334129294,486
d1_platelets_max,float64,13444,14.658772475003543,559
d1_platelets_min,float64,13444,14.658772475003543,540
d1_potassium_max,float64,9585,10.451081089921821,100
d1_potassium_min,float64,9585,10.451081089921821,116
d1_sodium_max,float64,10195,11.11619944827887,71
d1_sodium_min,float64,10195,11.11619944827887,138
d1_wbc_max,float64,13174,14.364375824583211,3098
d1_wbc_min,float64,13174,14.364375824583211,2774
h1_albumin_max,float64,83824,91.39816601790368,37
h1_albumin_min,float64,83824,91.39816601790368,37
h1_bilirubin_max,float64,84619,92.26500059969688,181
h1_bilirubin_min,float64,84619,92.26500059969688,181
h1_bun_max,float64,75091,81.87606991375269,258
h1_bun_min,float64,75091,81.87606991375269,258
h1_calcium_max,float64,75863,82.71782626236194,59
h1_calcium_min,float64,75863,82.71782626236194,62
h1_creatinine_max,float64,74957,81.72996194650703,784
h1_creatinine_min,float64,74957,81.72996194650703,777
h1_glucose_max,float64,52614,57.36809394524223,601
h1_glucose_min,float64,52614,57.36809394524223,588
h1_hco3_max,float64,76094,82.969698952166,214
h1_hco3_min,float64,76094,82.969698952166,198
h1_hemaglobin_max,float64,73123,79.73024543957781,124
h1_hemaglobin_min,float64,73123,79.73024543957781,124
h1_hematocrit_max,float64,73420,80.05408175504019,358
h1_hematocrit_min,float64,73420,80.05408175504019,361
h1_inr_max,float64,57941,63.17643082223894,481
h1_inr_min,float64,57941,63.17643082223894,393
h1_lactate_max,float64,84369,91.99241110856694,547
h1_lactate_min,float64,84369,91.99241110856694,536
h1_platelets_max,float64,75673,82.51065824910319,544
h1_platelets_min,float64,75673,82.51065824910319,545
h1_potassium_max,float64,72102,78.61698995780316,115
h1_potassium_min,float64,72102,78.61698995780316,113
h1_sodium_max,float64,72617,79.17852430953081,99
h1_sodium_min,float64,72617,79.17852430953081,113
h1_wbc_max,float64,75953,82.81595847916871,2075
h1_wbc_min,float64,75953,82.81595847916871,2072
d1_arterial_pco2_max,float64,59271,64.62660691505022,831
d1_arterial_pco2_min,float64,59271,64.62660691505022,674
d1_arterial_ph_max,float64,60123,65.55559190082104,527
d1_arterial_ph_min,float64,60123,65.55559190082104,624
d1_arterial_po2_max,float64,59262,64.61679369336953,2428
d1_arterial_po2_min,float64,59262,64.61679369336953,1822
d1_pao2fio2ratio_max,float64,66008,71.97234852201979,5194
d1_pao2fio2ratio_min,float64,66008,71.97234852201979,4990
h1_arterial_pco2_max,float64,75959,82.82250062695583,779
h1_arterial_pco2_min,float64,75959,82.82250062695583,768
h1_arterial_ph_max,float64,76424,83.32951708045752,561
h1_arterial_ph_min,float64,76424,83.32951708045752,579
h1_arterial_po2_max,float64,75945,82.80723561545256,1737
h1_arterial_po2_min,float64,75945,82.80723561545256,1729
h1_pao2fio2ratio_max,float64,80195,87.44125696466149,3142
h1_pao2fio2ratio_min,float64,80195,87.44125696466149,3122
apache_4a_hospital_death_prob,float64,7947,8.665074744038467,101
apache_4a_icu_death_prob,float64,7947,8.665074744038467,99
aids,float64,715,0.7796059446316226,2
cirrhosis,float64,715,0.7796059446316226,2
diabetes_mellitus,float64,715,0.7796059446316226,2
hepatic_failure,float64,715,0.7796059446316226,2
immunosuppression,float64,715,0.7796059446316226,2
leukemia,float64,715,0.7796059446316226,2
lymphoma,float64,715,0.7796059446316226,2
solid_tumor_with_metastasis,float64,715,0.7796059446316226,2
apache_3j_bodysystem,str,1662,1.8121749370318276,11
apache_2_bodysystem,str,1662,1.8121749370318276,10
