feature,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,dominant_value,dominant_value_percent
bun_apache,NO_REVIEW,,,,21.00247511257946,476,13.0,4.397454831541317
d1_lactate_max,NO_REVIEW,,,,74.57612334129294,704,1.0,4.271561521636574
d1_arterial_ph_max,NO_REVIEW,,,,65.55559190082104,527,7.4,4.083570750237417
pre_icu_los_days,NO_REVIEW,,,,0.0,9757,0.0,4.046318406332799
d1_mbp_invasive_min,NO_REVIEW,,,,73.90119176125522,118,60.0,3.8644719251336896
h1_creatinine_max,NO_REVIEW,,,,81.72996194650703,784,0.8,3.855335402243972
h1_creatinine_min,NO_REVIEW,,,,81.72996194650703,777,0.8,3.8433993793268084
h1_lactate_min,NO_REVIEW,,,,91.99241110856694,536,1.0,3.799019607843137
d1_diasbp_min,NO_REVIEW,,,,0.17990906414575905,78,50.0,3.7608686153711712
d1_diasbp_noninvasive_min,NO_REVIEW,,,,1.1339722831005419,78,50.0,3.757458118734353
h1_lactate_max,NO_REVIEW,,,,91.99241110856694,547,1.0,3.7445533769063184
d1_creatinine_min,NO_REVIEW,,,,11.087850141201356,1093,0.8,3.7108800156970467
h1_diasbp_invasive_min,NO_REVIEW,,,,81.69834156553597,86,50.0,3.6759011021745605
d1_heartrate_min,NO_REVIEW,,,,0.15810190485536402,154,60.0,3.6552070592346673
ph_apache,NO_REVIEW,,,,77.27148822958577,555,7.36,3.6315663228591992
d1_creatinine_max,NO_REVIEW,,,,11.087850141201356,1187,0.8,3.6017364858236043
creatinine_apache,NO_REVIEW,,,,20.55651870509088,1127,0.8,3.524567664013176
h1_arterial_ph_max,NO_REVIEW,,,,83.32951708045752,561,7.36,3.4992478252338284
h1_arterial_ph_min,NO_REVIEW,,,,83.32951708045752,579,7.35,3.4076787232650925
h1_diasbp_invasive_max,NO_REVIEW,,,,81.69834156553597,103,62.0,3.288650580875782
d1_arterial_ph_min,NO_REVIEW,,,,65.55559190082104,624,7.35,3.273187717632162
d1_diasbp_invasive_max,NO_REVIEW,,,,74.12689585991082,145,74.0,3.1269754309073283
d1_arterial_pco2_min,NO_REVIEW,,,,64.62660691505022,674,38.0,3.122495530485174
h1_arterial_pco2_min,NO_REVIEW,,,,82.82250062695583,768,38.0,2.9706741145106004
d1_mbp_min,NO_REVIEW,,,,0.2398787521943454,91,60.0,2.8953034658389165
d1_mbp_noninvasive_min,NO_REVIEW,,,,1.612639429524713,91,60.0,2.8392845268967353
h1_heartrate_min,NO_REVIEW,,,,3.0420987210101074,109,80.0,2.794552590443417
h1_mbp_invasive_min,NO_REVIEW,,,,81.60675149651631,133,66.0,2.7328235224376076
h1_diasbp_min,NO_REVIEW,,,,3.946005473596982,92,58.0,2.728903217018185
h1_diasbp_noninvasive_min,NO_REVIEW,,,,8.014131039220176,93,60.0,2.7156454843948175
paco2_apache,NO_REVIEW,,,,77.27148822958577,704,38.0,2.6193331734228833
paco2_for_ph_apache,NO_REVIEW,,,,77.27148822958577,704,38.0,2.6193331734228833
h1_arterial_pco2_max,NO_REVIEW,,,,82.82250062695583,779,38.0,2.615208835851212
age,NO_REVIEW,,,,4.610033473989511,74,67.0,2.5958735783277134
h1_heartrate_max,NO_REVIEW,,,,3.0420987210101074,119,80.0,2.592130270008884
d1_sysbp_invasive_min,NO_REVIEW,,,,74.09963691079781,163,90.0,2.5301001936515957
h1_mbp_invasive_max,NO_REVIEW,,,,81.60675149651631,247,94.0,2.4779180745746636
d1_arterial_pco2_max,NO_REVIEW,,,,64.62660691505022,831,42.0,2.4505270945071205
h1_diasbp_max,NO_REVIEW,,,,3.946005473596982,107,68.0,2.420142120916294
d1_mbp_invasive_max,NO_REVIEW,,,,73.90119176125522,285,96.0,2.406417112299465
h1_diasbp_noninvasive_max,NO_REVIEW,,,,8.014131039220176,108,74.0,2.3955999668100945
d1_sysbp_min,NO_REVIEW,,,,0.17336691635864054,120,90.0,2.3778316621884352
d1_sysbp_noninvasive_min,NO_REVIEW,,,,1.119797629561785,120,90.0,2.36640716317844
map_apache,NO_REVIEW,,,,1.0838158167326335,161,56.0,2.3390910393633084
d1_diasbp_max,NO_REVIEW,,,,0.17990906414575905,120,80.0,2.308078822038712
d1_diasbp_noninvasive_max,NO_REVIEW,,,,1.1339722831005419,120,84.0,2.3016774563541516
h1_mbp_min,NO_REVIEW,,,,5.058170597407129,107,80.0,2.2693341295909226
h1_mbp_noninvasive_min,NO_REVIEW,,,,9.904811749697426,107,80.0,2.2558665843711045
d1_mbp_max,NO_REVIEW,,,,0.2398787521943454,125,96.0,2.235143672193501
d1_mbp_noninvasive_max,NO_REVIEW,,,,1.612639429524713,122,96.0,2.2253252654210165
d1_heartrate_max,NO_REVIEW,,,,0.15810190485536402,120,96.0,2.1972741569107113
urineoutput_apache,NO_REVIEW,,,,53.4253595455388,24772,0.0,2.1819033126536347
h1_mbp_max,NO_REVIEW,,,,5.058170597407129,117,88.0,2.13496566139146
h1_mbp_noninvasive_max,NO_REVIEW,,,,9.904811749697426,115,88.0,2.1057982064408383
heart_rate_apache,NO_REVIEW,,,,0.957334292848342,149,100.0,2.047668850112842
h1_hemaglobin_max,NO_REVIEW,,,,79.73024543957781,124,10.9,1.9311457772996234
h1_hemaglobin_min,NO_REVIEW,,,,79.73024543957781,124,11.2,1.9257665411511564
h1_sysbp_invasive_max,NO_REVIEW,,,,81.68416691199721,181,132.0,1.8930825098225978
d1_sysbp_invasive_max,NO_REVIEW,,,,74.09963691079781,225,150.0,1.793382167213943
d1_hemaglobin_max,NO_REVIEW,,,,13.244578195021425,105,10.9,1.7871955357816154
d1_sysbp_max,NO_REVIEW,,,,0.17336691635864054,143,140.0,1.7585250234834087
h1_sysbp_invasive_min,NO_REVIEW,,,,81.68416691199721,168,110.0,1.744255268484343
d1_sysbp_noninvasive_max,NO_REVIEW,,,,1.119797629561785,143,140.0,1.7378647200229362
d1_hemaglobin_min,NO_REVIEW,,,,13.244578195021425,115,10.9,1.6363773471080614
h1_sysbp_min,NO_REVIEW,,,,3.937282609880824,142,110.0,1.6140382738189827
h1_sysbp_noninvasive_min,NO_REVIEW,,,,8.004317817539498,143,110.0,1.5822784810126582
d1_glucose_min,NO_REVIEW,,,,6.331708699966199,256,97.0,1.5761413638162642
h1_sysbp_max,NO_REVIEW,,,,3.937282609880824,149,124.0,1.541395201017003
h1_sysbp_noninvasive_max,NO_REVIEW,,,,8.004317817539498,149,118.0,1.5253875693357986
icu_id,NO_REVIEW,,,,0.0,241,646.0,1.4447243029886712
h1_hematocrit_min,NO_REVIEW,,,,80.05408175504019,361,26.0,1.3721095501011316
d1_arterial_po2_min,NO_REVIEW,,,,64.61679369336953,1822,71.0,1.2449539305414317
glucose_apache,NO_REVIEW,,,,12.033190496439982,565,96.0,1.2060438538864857
h1_hematocrit_max,NO_REVIEW,,,,80.05408175504019,358,33.0,1.098780954463456
weight,NO_REVIEW,,,,2.965773663493725,3409,68.0,1.0944681042329172
h1_glucose_min,NO_REVIEW,,,,57.36809394524223,588,119.0,1.0537353896519093
h1_glucose_max,NO_REVIEW,,,,57.36809394524223,601,119.0,0.9846799150873424
pao2_apache,NO_REVIEW,,,,77.27148822958577,2003,78.0,0.9546653873830654
h1_arterial_po2_min,NO_REVIEW,,,,82.80723561545256,1729,76.0,0.9005580923389143
d1_glucose_max,NO_REVIEW,,,,6.331708699966199,538,122.0,0.8823597886061509
d1_hematocrit_max,NO_REVIEW,,,,12.707031718513187,312,35.0,0.8318864837182577
h1_arterial_po2_max,NO_REVIEW,,,,82.80723561545256,1737,81.0,0.8117706747843734
d1_wbc_min,NO_REVIEW,,,,14.364375824583211,2774,8.0,0.8072422618062365
wbc_apache,NO_REVIEW,,,,24.000959515008777,3075,7.4,0.7833460065135365
hematocrit_apache,NO_REVIEW,,,,21.67413561872363,353,34.0,0.7572910141296025
d1_arterial_po2_max,NO_REVIEW,,,,64.61679369336953,2428,82.0,0.7426581615358541
h1_wbc_max,NO_REVIEW,,,,82.81595847916871,2075,10.6,0.7423857868020305
d1_wbc_max,NO_REVIEW,,,,14.364375824583211,3098,10.2,0.7283005895160366
d1_hematocrit_min,NO_REVIEW,,,,12.707031718513187,340,36.0,0.728212942954571
h1_wbc_min,NO_REVIEW,,,,82.81595847916871,2072,10.6,0.7233502538071066
h1_platelets_min,NO_REVIEW,,,,82.51065824910319,545,175.0,0.6296758104738154
h1_platelets_max,NO_REVIEW,,,,82.51065824910319,544,175.0,0.6296758104738154
d1_platelets_max,NO_REVIEW,,,,14.658772475003543,559,175.0,0.6017708160318901
d1_platelets_min,NO_REVIEW,,,,14.658772475003543,540,168.0,0.5877167205406993
d1_pao2fio2ratio_min,NO_REVIEW,,,,71.97234852201979,4990,250.0,0.5446411204045906
d1_pao2fio2ratio_max,NO_REVIEW,,,,71.97234852201979,5194,250.0,0.5368605329702393
bmi,NO_REVIEW,,,,3.738837460338229,34888,14.84492591,0.5017896787639889
h1_pao2fio2ratio_max,NO_REVIEW,,,,87.44125696466149,3142,720.0,0.49487758291370026
h1_pao2fio2ratio_min,NO_REVIEW,,,,87.44125696466149,3122,200.0,0.49487758291370026
