feature,semantic_type,missing_percent,final_data_status,baseline_status,special_value_action,redundancy_status,redundancy_with,leakage_status,level2_evidence,review_reason,future_experiment
apache_post_operative,BINARY,0.0,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9978,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
arf_apache,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,diabetes_mellitus,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=diabetes_mellitus:0.7112,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
bilirubin_apache,CONTINUOUS,63.39,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_bilirubin_max,NONE,HIGH_CORRELATION_WITH=d1_bilirubin_max:0.9966,HIGH_CORRELATION,REDUNDANCY_ABLATION
bun_apache,CONTINUOUS,21.0,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_bun_max,NONE,HIGH_CORRELATION_WITH=d1_bun_max:0.9866,HIGH_CORRELATION,REDUNDANCY_ABLATION
creatinine_apache,CONTINUOUS,20.56,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_creatinine_max,NONE,HIGH_CORRELATION_WITH=d1_creatinine_max:0.9938,HIGH_CORRELATION,REDUNDANCY_ABLATION
glucose_apache,CONTINUOUS,12.03,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_glucose_max,NONE,HIGH_CORRELATION_WITH=d1_glucose_max:0.9230,HIGH_CORRELATION,REDUNDANCY_ABLATION
hematocrit_apache,CONTINUOUS,21.67,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_hematocrit_min,NONE,HIGH_CORRELATION_WITH=d1_hematocrit_min:0.9687,HIGH_CORRELATION,REDUNDANCY_ABLATION
intubated_apache,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,ventilated_apache,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=ventilated_apache:0.8273,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
paco2_apache,CONTINUOUS,77.27,KEEP,KEEP,NONE,NEAR_DUPLICATE,paco2_for_ph_apache,NONE,NEAR_DUPLICATE_WITH=paco2_for_ph_apache:100.0000%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
sodium_apache,CONTINUOUS,20.28,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_sodium_min,NONE,HIGH_CORRELATION_WITH=d1_sodium_min:0.9194,HIGH_CORRELATION,REDUNDANCY_ABLATION
ventilated_apache,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,intubated_apache,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=intubated_apache:0.8273,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
wbc_apache,CONTINUOUS,24.0,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_wbc_max,NONE,HIGH_CORRELATION_WITH=d1_wbc_max:0.9695,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_diasbp_max,CONTINUOUS,0.18,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_diasbp_noninvasive_max,NONE,NEAR_DUPLICATE_WITH=d1_diasbp_noninvasive_max:99.6383%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_diasbp_min,CONTINUOUS,0.18,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_diasbp_noninvasive_min,NONE,NEAR_DUPLICATE_WITH=d1_diasbp_noninvasive_min:99.6239%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_diasbp_noninvasive_max,CONTINUOUS,1.13,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_diasbp_max,NONE,NEAR_DUPLICATE_WITH=d1_diasbp_max:99.6383%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_diasbp_noninvasive_min,CONTINUOUS,1.13,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_diasbp_min,NONE,NEAR_DUPLICATE_WITH=d1_diasbp_min:99.6239%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_heartrate_max,CONTINUOUS,0.16,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_heartrate_min,CONTINUOUS,0.16,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_mbp_max,CONTINUOUS,0.24,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_mbp_noninvasive_max,NONE,HIGH_CORRELATION_WITH=d1_mbp_noninvasive_max:0.9847,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_mbp_min,CONTINUOUS,0.24,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_mbp_noninvasive_min,NONE,NEAR_DUPLICATE_WITH=d1_mbp_noninvasive_min:99.5024%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_mbp_noninvasive_max,CONTINUOUS,1.61,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_mbp_max,NONE,HIGH_CORRELATION_WITH=d1_mbp_max:0.9847,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_mbp_noninvasive_min,CONTINUOUS,1.61,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_mbp_min,NONE,NEAR_DUPLICATE_WITH=d1_mbp_min:99.5024%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_resprate_max,CONTINUOUS,0.42,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_resprate_min,CONTINUOUS,0.42,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_spo2_max,CONTINUOUS,0.36,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_spo2_min,CONTINUOUS,0.36,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
d1_sysbp_max,CONTINUOUS,0.17,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_sysbp_noninvasive_max,NONE,NEAR_DUPLICATE_WITH=d1_sysbp_noninvasive_max:99.6185%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_sysbp_min,CONTINUOUS,0.17,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_sysbp_noninvasive_min,NONE,NEAR_DUPLICATE_WITH=d1_sysbp_noninvasive_min:99.0947%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_sysbp_noninvasive_max,CONTINUOUS,1.12,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_sysbp_max,NONE,NEAR_DUPLICATE_WITH=d1_sysbp_max:99.6185%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_sysbp_noninvasive_min,CONTINUOUS,1.12,KEEP,KEEP,NONE,NEAR_DUPLICATE,d1_sysbp_min,NONE,NEAR_DUPLICATE_WITH=d1_sysbp_min:99.0947%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
h1_diasbp_max,CONTINUOUS,3.95,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_diasbp_noninvasive_max,NONE,HIGH_CORRELATION_WITH=h1_diasbp_noninvasive_max:0.9843,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_diasbp_min,CONTINUOUS,3.95,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_diasbp_noninvasive_min,NONE,HIGH_CORRELATION_WITH=h1_diasbp_noninvasive_min:0.9817,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_diasbp_noninvasive_max,CONTINUOUS,8.01,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_diasbp_max,NONE,HIGH_CORRELATION_WITH=h1_diasbp_max:0.9843,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_diasbp_noninvasive_min,CONTINUOUS,8.01,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_diasbp_min,NONE,HIGH_CORRELATION_WITH=h1_diasbp_min:0.9817,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_heartrate_max,CONTINUOUS,3.04,KEEP,KEEP,REVIEW_ZERO_VALIDITY,HIGH_CORRELATION,h1_heartrate_min,NONE,HIGH_CORRELATION_WITH=h1_heartrate_min:0.8538,HIGH_CORRELATION; REVIEW_ZERO_VALIDITY,REDUNDANCY_ABLATION; SPECIAL_VALUE_REVIEW
h1_heartrate_min,CONTINUOUS,3.04,KEEP,KEEP,REVIEW_ZERO_VALIDITY,HIGH_CORRELATION,h1_heartrate_max,NONE,HIGH_CORRELATION_WITH=h1_heartrate_max:0.8538,HIGH_CORRELATION; REVIEW_ZERO_VALIDITY,REDUNDANCY_ABLATION; SPECIAL_VALUE_REVIEW
h1_mbp_max,CONTINUOUS,5.06,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_mbp_noninvasive_max,NONE,HIGH_CORRELATION_WITH=h1_mbp_noninvasive_max:0.9866,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_mbp_min,CONTINUOUS,5.06,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_mbp_noninvasive_min,NONE,NEAR_DUPLICATE_WITH=h1_mbp_noninvasive_min:99.1553%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
h1_mbp_noninvasive_max,CONTINUOUS,9.9,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_mbp_max,NONE,HIGH_CORRELATION_WITH=h1_mbp_max:0.9866,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_mbp_noninvasive_min,CONTINUOUS,9.9,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_mbp_min,NONE,NEAR_DUPLICATE_WITH=h1_mbp_min:99.1553%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
h1_resprate_max,CONTINUOUS,4.75,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
h1_resprate_min,CONTINUOUS,4.75,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
h1_spo2_max,CONTINUOUS,4.56,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
h1_spo2_min,CONTINUOUS,4.56,KEEP,KEEP,REVIEW_ZERO_VALIDITY,NONE,,NONE,NONE,REVIEW_ZERO_VALIDITY,SPECIAL_VALUE_REVIEW
h1_sysbp_max,CONTINUOUS,3.94,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_sysbp_noninvasive_max,NONE,NEAR_DUPLICATE_WITH=h1_sysbp_noninvasive_max:99.2711%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
h1_sysbp_min,CONTINUOUS,3.94,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_sysbp_noninvasive_min,NONE,HIGH_CORRELATION_WITH=h1_sysbp_noninvasive_min:0.9880,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_sysbp_noninvasive_max,CONTINUOUS,8.0,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_sysbp_max,NONE,NEAR_DUPLICATE_WITH=h1_sysbp_max:99.2711%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
h1_sysbp_noninvasive_min,CONTINUOUS,8.0,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_sysbp_min,NONE,HIGH_CORRELATION_WITH=h1_sysbp_min:0.9880,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_temp_max,CONTINUOUS,23.7,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_temp_min,NONE,HIGH_CORRELATION_WITH=h1_temp_min:0.8678,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_temp_min,CONTINUOUS,23.7,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_temp_max,NONE,HIGH_CORRELATION_WITH=h1_temp_max:0.8678,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_albumin_max,CONTINUOUS,53.53,KEEP,KEEP,NONE,HIGH_CORRELATION,albumin_apache,NONE,HIGH_CORRELATION_WITH=albumin_apache:0.9613,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_albumin_min,CONTINUOUS,53.53,KEEP,KEEP,NONE,HIGH_CORRELATION,albumin_apache,NONE,HIGH_CORRELATION_WITH=albumin_apache:0.9381,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_bilirubin_max,CONTINUOUS,58.52,KEEP,KEEP,NONE,HIGH_CORRELATION,bilirubin_apache,NONE,HIGH_CORRELATION_WITH=bilirubin_apache:0.9966,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_bilirubin_min,CONTINUOUS,58.52,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_bilirubin_max,NONE,HIGH_CORRELATION_WITH=d1_bilirubin_max:0.9881,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_bun_max,CONTINUOUS,11.46,KEEP,KEEP,NONE,HIGH_CORRELATION,bun_apache,NONE,HIGH_CORRELATION_WITH=bun_apache:0.9866,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_bun_min,CONTINUOUS,11.46,KEEP,KEEP,NONE,HIGH_CORRELATION,bun_apache,NONE,HIGH_CORRELATION_WITH=bun_apache:0.9675,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_creatinine_max,CONTINUOUS,11.09,KEEP,KEEP,NONE,HIGH_CORRELATION,creatinine_apache,NONE,HIGH_CORRELATION_WITH=creatinine_apache:0.9938,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_creatinine_min,CONTINUOUS,11.09,KEEP,KEEP,NONE,HIGH_CORRELATION,creatinine_apache,NONE,HIGH_CORRELATION_WITH=creatinine_apache:0.9703,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_glucose_max,CONTINUOUS,6.33,KEEP,KEEP,NONE,HIGH_CORRELATION,glucose_apache,NONE,HIGH_CORRELATION_WITH=glucose_apache:0.9230,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_hemaglobin_max,CONTINUOUS,13.24,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_hematocrit_max,NONE,HIGH_CORRELATION_WITH=d1_hematocrit_max:0.9553,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_hemaglobin_min,CONTINUOUS,13.24,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_hematocrit_min,NONE,HIGH_CORRELATION_WITH=d1_hematocrit_min:0.9652,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_hematocrit_max,CONTINUOUS,12.71,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_hemaglobin_max,NONE,HIGH_CORRELATION_WITH=d1_hemaglobin_max:0.9553,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_hematocrit_min,CONTINUOUS,12.71,KEEP,KEEP,NONE,HIGH_CORRELATION,hematocrit_apache,NONE,HIGH_CORRELATION_WITH=hematocrit_apache:0.9687,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_inr_max,CONTINUOUS,63.18,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_inr_max,NONE,NEAR_DUPLICATE_WITH=h1_inr_max:100.0000%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_inr_min,CONTINUOUS,63.18,KEEP,KEEP,NONE,NEAR_DUPLICATE,h1_inr_min,NONE,NEAR_DUPLICATE_WITH=h1_inr_min:100.0000%,NEAR_DUPLICATE,REDUNDANCY_ABLATION
d1_platelets_max,CONTINUOUS,14.66,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_platelets_min,NONE,HIGH_CORRELATION_WITH=d1_platelets_min:0.9635,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_platelets_min,CONTINUOUS,14.66,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_platelets_max,NONE,HIGH_CORRELATION_WITH=d1_platelets_max:0.9635,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_sodium_max,CONTINUOUS,11.12,KEEP,KEEP,NONE,HIGH_CORRELATION,sodium_apache,NONE,HIGH_CORRELATION_WITH=sodium_apache:0.8916,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_sodium_min,CONTINUOUS,11.12,KEEP,KEEP,NONE,HIGH_CORRELATION,sodium_apache,NONE,HIGH_CORRELATION_WITH=sodium_apache:0.9194,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_wbc_max,CONTINUOUS,14.36,KEEP,KEEP,NONE,HIGH_CORRELATION,wbc_apache,NONE,HIGH_CORRELATION_WITH=wbc_apache:0.9695,HIGH_CORRELATION,REDUNDANCY_ABLATION
d1_wbc_min,CONTINUOUS,14.36,KEEP,KEEP,NONE,HIGH_CORRELATION,wbc_apache,NONE,HIGH_CORRELATION_WITH=wbc_apache:0.9293,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_glucose_max,CONTINUOUS,57.37,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_glucose_min,NONE,HIGH_CORRELATION_WITH=h1_glucose_min:0.9636,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_glucose_min,CONTINUOUS,57.37,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_glucose_max,NONE,HIGH_CORRELATION_WITH=h1_glucose_max:0.9636,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_hemaglobin_max,CONTINUOUS,79.73,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_hemaglobin_min,NONE,HIGH_CORRELATION_WITH=h1_hemaglobin_min:0.9598,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_hemaglobin_min,CONTINUOUS,79.73,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_hemaglobin_max,NONE,HIGH_CORRELATION_WITH=h1_hemaglobin_max:0.9598,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_potassium_max,CONTINUOUS,78.62,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_potassium_min,NONE,HIGH_CORRELATION_WITH=h1_potassium_min:0.9490,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_potassium_min,CONTINUOUS,78.62,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_potassium_max,NONE,HIGH_CORRELATION_WITH=h1_potassium_max:0.9490,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_sodium_max,CONTINUOUS,79.18,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_sodium_min,NONE,HIGH_CORRELATION_WITH=h1_sodium_min:0.9786,HIGH_CORRELATION,REDUNDANCY_ABLATION
h1_sodium_min,CONTINUOUS,79.18,KEEP,KEEP,NONE,HIGH_CORRELATION,h1_sodium_max,NONE,HIGH_CORRELATION_WITH=h1_sodium_max:0.9786,HIGH_CORRELATION,REDUNDANCY_ABLATION
aids,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7073,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
cirrhosis,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,hepatic_failure,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=hepatic_failure:0.7989,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
diabetes_mellitus,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,arf_apache,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=arf_apache:0.7112,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
hepatic_failure,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,cirrhosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=cirrhosis:0.7989,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
immunosuppression,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,solid_tumor_with_metastasis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=solid_tumor_with_metastasis:0.7324,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
leukemia,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7135,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
lymphoma,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7109,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
solid_tumor_with_metastasis,BINARY,0.78,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,immunosuppression,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=immunosuppression:0.7324,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
apache_3j_bodysystem,CATEGORICAL,1.81,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9979,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
apache_2_bodysystem,CATEGORICAL,1.81,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9979,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
